participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
10,badoer,0,2,,0,,0,1996-03-10,1996-07-14,0,1,0,0,8,0.0
10,montermini,0,1,,0,,0,1996-03-10,1996-07-14,0,1,0,0,9,0.0
16,damon_hill,0,12,1996-03-10,0,1996-10-13,10,1996-03-10,1996-10-13,9,12,8,12,4,97.0
16,panis,0,9,1996-05-19,0,1996-05-19,1,1996-03-10,1996-10-13,0,9,1,3,7,13.0
16,alesi,0,11,,0,,8,1996-03-10,1996-10-13,0,11,0,11,5,47.0
16,michael_schumacher,0,10,1996-06-02,0,1996-09-08,8,1996-03-10,1996-10-13,4,10,3,9,6,59.0
16,barrichello,0,9,,0,,0,1996-03-10,1996-10-13,0,9,0,7,7,14.0
16,berger,0,9,,0,,2,1996-03-10,1996-10-13,0,8,0,7,7,21.0
16,brundle,0,9,,0,,0,1996-03-10,1996-10-13,0,8,0,5,7,8.0
16,coulthard,0,9,,0,,2,1996-03-10,1996-10-13,0,8,0,6,7,18.0
16,diniz,0,6,,0,,0,1996-03-10,1996-10-13,0,6,0,2,10,2.0
16,frentzen,0,7,,0,,0,1996-03-10,1996-10-13,0,7,0,3,9,7.0
16,hakkinen,0,13,,0,,4,1996-03-10,1996-10-13,0,13,0,11,3,31.0
16,herbert,0,8,,0,,1,1996-03-10,1996-10-13,0,8,0,1,8,4.0
16,irvine,0,6,,0,,1,1996-03-10,1996-10-13,0,6,0,4,10,11.0
16,katayama,0,6,,0,,0,1996-03-10,1996-10-13,0,4,0,0,10,0.0
16,lamy,0,8,,0,,0,1996-03-10,1996-10-13,0,3,0,0,8,0.0
16,villeneuve,0,13,1996-04-28,0,1996-09-22,11,1996-03-10,1996-10-13,3,12,4,11,3,78.0
16,rosset,0,8,,0,,0,1996-03-10,1996-10-13,0,3,0,0,8,0.0
16,salo,0,8,,0,,0,1996-03-10,1996-10-13,0,7,0,3,8,5.0
16,verstappen,0,4,,0,,0,1996-03-10,1996-10-13,0,3,0,1,12,1.0
2,marques,0,0,,0,,0,1996-03-31,1996-04-07,0,0,0,0,2,0.0
6,lavaggi,0,2,,2,,0,1996-07-28,1996-10-13,0,1,0,0,2,0.0
8,fisichella,0,3,,0,,0,1996-03-10,1996-07-14,0,1,0,0,5,0.0
