participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,nelleman,0,0,,1,,0,1976-06-13,1976-06-13,0,0,0,0,0,0.0
1,magee,0,0,,1,,0,1976-07-04,1976-07-04,0,0,0,0,0,0.0
1,ian_scheckter,0,0,,0,,0,1976-03-06,1976-03-06,0,0,0,0,1,0.0
1,zorzi,0,1,,0,,0,1976-01-25,1976-01-25,0,1,0,0,0,0.0
1,hoshino,0,0,,0,,0,1976-10-24,1976-10-24,0,0,0,0,1,0.0
1,zapico,0,0,,1,,0,1976-05-02,1976-05-02,0,0,0,0,0,0.0
1,wilds,0,0,,1,,0,1976-07-18,1976-07-18,0,0,0,0,0,0.0
1,villota,0,0,,1,,0,1976-05-02,1976-05-02,0,0,0,0,0,0.0
1,andersson,0,0,,0,,0,1976-08-29,1976-08-29,0,0,0,0,1,0.0
1,ashley,0,0,,0,,0,1976-01-25,1976-01-25,0,0,0,0,1,0.0
1,trimmer,0,0,,1,,0,1976-10-24,1976-10-24,0,0,0,0,0,0.0
1,takahara,0,1,,0,,0,1976-10-24,1976-10-24,0,1,0,0,0,0.0
1,brown,0,1,,0,,0,1976-10-10,1976-10-10,0,0,0,0,0,0.0
1,ribeiro,0,1,,0,,0,1976-10-10,1976-10-10,0,0,0,0,0,0.0
1,hayje,0,0,,0,,0,1976-08-29,1976-08-29,0,0,0,0,1,0.0
1,hasemi,0,1,,0,,0,1976-10-24,1976-10-24,0,0,0,0,0,0.0
1,galica,0,0,,1,,0,1976-07-18,1976-07-18,0,0,0,0,0,0.0
12,lunger,0,7,,2,,0,1976-03-06,1976-10-10,0,1,0,0,3,0.0
12,ickx,0,6,,4,,0,1976-01-25,1976-10-10,0,4,0,0,2,0.0
13,reutemann,0,4,,0,,0,1976-01-25,1976-09-12,0,2,0,1,9,3.0
14,merzario,0,2,,3,,0,1976-03-28,1976-10-24,0,1,0,0,9,0.0
14,lauda,0,11,1976-01-25,0,1976-07-18,9,1976-01-25,1976-10-24,3,11,5,10,3,68.0
14,jones,0,10,,0,,0,1976-03-28,1976-10-24,0,7,0,3,4,7.0
15,ertl,0,6,,4,,0,1976-03-06,1976-10-24,0,3,0,0,5,0.0
15,nilsson,0,6,,0,,2,1976-03-06,1976-10-24,0,4,0,4,9,11.0
15,regazzoni,0,12,1976-03-28,0,1976-03-28,4,1976-01-25,1976-10-24,1,10,1,7,3,31.0
15,mario_andretti,0,7,1976-10-24,0,1976-10-24,3,1976-01-25,1976-10-24,1,6,1,6,8,22.0
16,hunt,0,10,1976-05-02,0,1976-10-10,8,1976-01-25,1976-10-24,8,10,6,10,6,69.0
16,laffite,0,9,,0,,3,1976-01-25,1976-10-24,1,6,0,5,7,20.0
16,watson,0,10,1976-08-15,0,1976-08-15,3,1976-01-25,1976-10-24,0,9,1,5,6,20.0
16,jarier,0,12,,0,,0,1976-01-25,1976-10-24,0,7,0,0,4,0.0
16,mass,0,12,,0,,2,1976-01-25,1976-10-24,0,10,0,8,4,19.0
16,brambilla,0,5,,0,,0,1976-01-25,1976-10-24,0,4,0,1,11,1.0
16,emerson_fittipaldi,0,8,,1,,0,1976-01-25,1976-10-24,0,4,0,3,7,3.0
16,pace,0,9,,0,,0,1976-01-25,1976-10-24,0,9,0,3,7,7.0
16,peterson,0,6,1976-09-12,0,1976-09-12,1,1976-01-25,1976-10-24,1,5,1,2,10,10.0
16,scheckter,0,12,1976-06-13,0,1976-06-13,5,1976-01-25,1976-10-24,1,12,1,12,4,49.0
16,pryce,0,12,,0,,1,1976-01-25,1976-10-24,0,11,0,3,4,10.0
16,stuck,0,5,,0,,0,1976-01-25,1976-10-24,0,4,0,3,11,8.0
16,depailler,0,10,,0,,7,1976-01-25,1976-10-24,0,10,0,8,6,39.0
2,binder,0,0,,0,,0,1976-08-15,1976-10-24,0,0,0,0,2,0.0
2,neve,0,1,,0,,0,1976-05-16,1976-07-04,0,0,0,0,1,0.0
3,stommelen,0,2,,0,,0,1976-08-01,1976-09-12,0,1,0,1,1,1.0
3,evans,0,1,,1,,0,1976-03-06,1976-07-18,0,1,0,0,1,0.0
3,stuppacher,0,0,,3,,0,1976-09-12,1976-10-10,0,0,0,0,0,0.0
4,lombardi,0,2,,2,,0,1976-01-25,1976-08-15,0,0,0,0,0,0.0
4,pesenti_rossi,0,3,,1,,0,1976-08-01,1976-09-12,0,0,0,0,0,0.0
4,hoffmann,0,1,,3,,0,1976-01-25,1976-07-04,0,0,0,0,0,0.0
5,kessel,0,1,,2,,0,1976-05-02,1976-08-15,0,0,0,0,2,0.0
6,edwards,0,3,,2,,0,1976-05-16,1976-10-03,0,0,0,0,1,0.0
7,leclere,0,5,,1,,0,1976-03-06,1976-07-04,0,1,0,0,1,0.0
9,amon,0,4,,1,,0,1976-03-06,1976-10-03,0,2,0,1,4,2.0
9,pescarolo,0,4,,2,,0,1976-05-30,1976-10-10,0,1,0,0,3,0.0
9,perkins,0,3,,1,,0,1976-05-02,1976-10-24,0,1,0,0,5,0.0
