participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
10,piquet_jr,0,8,,0,,0,2009-03-29,2009-07-26,0,1,0,0,2,0.0
10,massa,1,7,,1,,1,2009-03-29,2009-07-26,0,6,0,5,2,22.0
15,glock,1,14,,0,,2,2009-03-29,2009-10-04,0,12,0,7,1,24.0
17,button,2,16,2009-03-29,0,2009-06-07,9,2009-03-29,2009-11-01,4,16,6,16,1,95.0
17,webber,3,15,2009-07-12,0,2009-10-18,8,2009-03-29,2009-11-01,1,12,2,10,2,69.5
17,raikkonen,0,15,2009-08-30,0,2009-08-30,5,2009-03-29,2009-11-01,0,12,1,9,2,48.0
17,alonso,2,14,,0,,1,2009-03-29,2009-11-01,1,11,0,8,3,26.0
17,buemi,0,12,,0,,0,2009-03-29,2009-11-01,0,4,0,4,5,6.0
17,fisichella,0,16,,0,,1,2009-03-29,2009-11-01,1,4,0,1,1,8.0
17,hamilton,0,14,2009-07-26,0,2009-09-27,5,2009-03-29,2009-11-01,4,9,2,8,3,49.0
17,heidfeld,0,15,,0,,1,2009-03-29,2009-11-01,0,8,0,6,2,19.0
17,kovalainen,0,12,,0,,0,2009-03-29,2009-11-01,0,8,0,7,5,22.0
17,kubica,0,14,,0,,1,2009-03-29,2009-11-01,0,7,0,5,3,17.0
17,barrichello,2,16,2009-08-23,0,2009-09-13,6,2009-03-29,2009-11-01,1,16,2,15,1,77.0
17,nakajima,0,13,,0,,0,2009-03-29,2009-11-01,0,3,0,0,4,0.0
17,vettel,3,14,2009-04-19,0,2009-11-01,8,2009-03-29,2009-11-01,4,12,4,12,3,84.0
17,rosberg,1,16,,0,,0,2009-03-29,2009-11-01,0,13,0,11,1,34.5
17,sutil,1,13,,0,,0,2009-03-29,2009-11-01,0,3,0,1,4,5.0
17,trulli,1,13,,0,,3,2009-03-29,2009-11-01,1,8,0,8,4,32.5
2,badoer,0,2,,0,,0,2009-08-23,2009-08-30,0,0,0,0,0,0.0
2,kobayashi,0,2,,0,,0,2009-10-18,2009-11-01,0,2,0,1,0,3.0
5,liuzzi,0,4,,0,,0,2009-09-13,2009-11-01,0,0,0,0,1,0.0
7,grosjean,0,5,,0,,0,2009-08-23,2009-11-01,0,0,0,0,2,0.0
8,alguersuari,0,3,,0,,0,2009-07-26,2009-11-01,0,0,0,0,5,0.0
9,bourdais,0,6,,0,,0,2009-03-29,2009-07-12,0,3,0,2,3,2.0
