participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,suzuki,0,0,,0,,0,1994-04-17,1994-04-17,0,0,0,0,1,0.0
1,adams,0,1,,0,,0,1994-09-25,1994-09-25,0,0,0,0,0,0.0
1,montermini,0,0,,1,,0,1994-05-29,1994-05-29,0,0,0,0,0,0.0
1,inoue,0,0,,0,,0,1994-11-06,1994-11-06,0,0,0,0,1,0.0
1,deletraz,0,0,,0,,0,1994-11-13,1994-11-13,0,0,0,0,1,0.0
10,beretta,0,4,,0,,0,1994-03-27,1994-08-14,0,3,0,0,6,0.0
10,verstappen,0,4,,0,,2,1994-03-27,1994-10-16,0,4,0,3,6,10.0
11,zanardi,0,5,,0,,0,1994-05-29,1994-11-13,0,1,0,0,6,0.0
11,cesaris,0,2,,0,,0,1994-05-01,1994-10-16,0,2,0,2,9,4.0
13,irvine,0,5,,0,,0,1994-03-27,1994-11-13,0,4,0,3,8,6.0
14,michael_schumacher,0,10,1994-03-27,0,1994-10-16,10,1994-03-27,1994-11-13,6,10,8,10,4,92.0
14,bernard,0,11,,0,,1,1994-03-27,1994-10-16,0,7,0,1,3,4.0
14,alesi,0,8,,0,,4,1994-03-27,1994-11-13,1,8,0,7,6,24.0
15,comas,0,8,,0,,0,1994-03-27,1994-11-06,0,7,0,2,7,2.0
15,hakkinen,0,8,,0,,6,1994-03-27,1994-11-13,0,7,0,6,7,26.0
16,blundell,0,7,,0,,1,1994-03-27,1994-11-13,0,6,0,3,9,8.0
16,belmondo,0,0,,13,,0,1994-03-27,1994-11-13,0,0,0,0,3,0.0
16,damon_hill,0,13,1994-05-29,0,1994-11-06,11,1994-03-27,1994-11-13,2,13,6,12,3,91.0
16,panis,0,14,,0,,1,1994-03-27,1994-11-13,0,9,0,3,2,9.0
16,barrichello,0,8,,1,,1,1994-03-27,1994-11-13,1,7,0,6,7,19.0
16,fittipaldi,0,10,,0,,0,1994-03-27,1994-11-13,0,7,0,2,6,6.0
16,frentzen,0,7,,1,,0,1994-03-27,1994-11-13,0,7,0,4,8,7.0
16,gachot,0,0,,11,,0,1994-03-27,1994-11-13,0,0,0,0,5,0.0
16,berger,0,9,1994-07-31,0,1994-07-31,6,1994-03-27,1994-11-13,2,8,1,8,7,41.0
16,brundle,0,7,,0,,2,1994-03-27,1994-11-13,0,6,0,5,9,16.0
16,herbert,0,9,,0,,0,1994-03-27,1994-11-13,0,6,0,0,7,0.0
16,morbidelli,0,4,,0,,0,1994-03-27,1994-11-13,0,3,0,2,12,3.0
16,brabham,0,6,,0,,0,1994-03-27,1994-11-13,0,1,0,0,10,0.0
16,katayama,0,4,,0,,0,1994-03-27,1994-11-13,0,4,0,3,12,5.0
16,alboreto,0,6,,0,,0,1994-03-27,1994-11-13,0,3,0,1,10,1.0
16,martini,0,9,,0,,0,1994-03-27,1994-11-13,0,7,0,2,7,4.0
2,schiattarella,0,1,,0,,0,1994-10-16,1994-11-13,0,0,0,0,1,0.0
2,larini,0,1,,0,,1,1994-04-17,1994-05-01,0,1,0,1,1,6.0
2,lagorce,0,1,,0,,0,1994-11-06,1994-11-13,0,0,0,0,1,0.0
2,alliot,0,0,,0,,0,1994-08-14,1994-08-28,0,0,0,0,2,0.0
2,dalmas,0,1,,0,,0,1994-09-11,1994-09-25,0,0,0,0,1,0.0
2,salo,0,1,,0,,0,1994-11-06,1994-11-13,0,1,0,0,1,0.0
3,senna,0,0,,0,,0,1994-03-27,1994-05-01,3,0,0,0,3,0.0
3,noda,0,0,,0,,0,1994-10-16,1994-11-13,0,0,0,0,3,0.0
3,ratzenberger,0,1,,1,,0,1994-03-27,1994-05-01,0,0,0,0,1,0.0
4,wendlinger,0,2,,1,,0,1994-03-27,1994-05-15,0,2,0,2,1,4.0
4,lamy,0,3,,0,,0,1994-03-27,1994-05-15,0,2,0,0,1,0.0
4,mansell,0,2,1994-11-13,0,1994-11-13,1,1994-07-03,1994-11-13,1,2,1,2,2,13.0
7,gounon,0,4,,0,,0,1994-07-03,1994-09-25,0,1,0,0,3,0.0
8,coulthard,0,5,,0,,1,1994-05-29,1994-09-25,0,5,0,5,3,14.0
8,lehto,0,4,,0,,0,1994-05-01,1994-11-13,0,4,0,1,4,1.0
