participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,streiff,0,0,,0,,0,1984-10-21,1984-10-21,0,0,0,0,1,0.0
1,martini,0,0,,1,,0,1984-09-09,1984-09-09,0,0,0,0,0,0.0
10,cecotto,0,1,,1,,0,1984-03-25,1984-07-22,0,1,0,0,8,0.0
11,fabi,0,4,,0,,1,1984-03-25,1984-10-07,0,4,0,3,7,9.0
12,bellof,0,0,,1,,0,1984-03-25,1984-08-26,0,0,0,0,11,0.0
14,manfred_winkelhock,0,3,,1,,0,1984-03-25,1984-10-21,0,3,0,0,10,0.0
15,tambay,0,7,,0,,1,1984-03-25,1984-10-21,1,7,0,4,8,11.0
15,senna,0,6,,1,,3,1984-03-25,1984-10-21,0,6,0,5,8,13.0
15,palmer,0,6,,1,,0,1984-03-25,1984-10-21,0,5,0,0,8,0.0
15,alliot,0,3,,2,,0,1984-03-25,1984-10-21,0,2,0,0,10,0.0
15,hesnault,0,5,,0,,0,1984-03-25,1984-10-21,0,5,0,0,10,0.0
16,prost,0,11,1984-03-25,0,1984-10-21,9,1984-03-25,1984-10-21,3,11,7,10,5,71.5
16,warwick,0,6,,0,,4,1984-03-25,1984-10-21,0,5,0,5,10,23.0
16,boutsen,0,7,,1,,0,1984-03-25,1984-10-21,0,5,0,3,8,5.0
16,cesaris,0,7,,0,,0,1984-03-25,1984-10-21,0,6,0,2,9,3.0
16,cheever,0,6,,1,,0,1984-03-25,1984-10-21,0,3,0,1,9,3.0
16,ghinzani,0,5,,2,,0,1984-03-25,1984-10-21,0,4,0,1,9,2.0
16,laffite,0,5,,0,,0,1984-03-25,1984-10-21,0,4,0,2,11,5.0
16,arnoux,0,12,,0,,4,1984-03-25,1984-10-21,0,11,0,9,4,27.0
16,mansell,0,5,,0,,2,1984-03-25,1984-10-21,1,5,0,5,11,13.0
16,angelis,0,12,,0,,4,1984-03-25,1984-10-21,1,12,0,11,4,34.0
16,keke_rosberg,0,6,1984-07-08,0,1984-07-08,2,1984-03-25,1984-10-21,0,6,1,5,10,20.5
16,patrese,0,6,,0,,1,1984-03-25,1984-10-21,0,5,0,3,10,8.0
16,alboreto,0,8,1984-04-29,0,1984-04-29,4,1984-03-25,1984-10-21,1,7,1,7,8,30.5
16,piquet,0,7,1984-06-17,0,1984-06-24,4,1984-03-25,1984-10-21,9,7,2,5,9,29.0
16,surer,0,5,,1,,0,1984-03-25,1984-10-21,0,4,0,1,10,1.0
16,lauda,0,10,1984-04-07,0,1984-09-09,9,1984-03-25,1984-10-21,0,10,5,10,6,72.0
2,thackwell,0,0,,1,,0,1984-06-17,1984-08-05,0,0,0,0,1,0.0
4,corrado_fabi,0,1,,0,,0,1984-06-03,1984-07-22,0,1,0,0,3,0.0
4,berger,0,3,,0,,0,1984-08-19,1984-10-21,0,1,0,0,1,0.0
7,johansson,0,2,,1,,0,1984-07-22,1984-10-21,0,1,0,1,4,3.0
8,gartner,0,3,,0,,0,1984-05-06,1984-10-21,0,1,0,0,5,0.0
8,baldi,0,4,,1,,0,1984-03-25,1984-10-21,0,3,0,0,3,0.0
8,rothengatter,0,2,,1,,0,1984-06-17,1984-09-09,0,2,0,0,5,0.0
9,brundle,0,0,,2,,0,1984-03-25,1984-07-08,0,0,0,0,7,0.0
