participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
10,lehto,0,1,,5,,0,1990-03-11,1990-08-12,0,0,0,0,4,0.0
10,foitek,0,2,,3,,0,1990-03-11,1990-08-12,0,1,0,0,5,0.0
12,giacomelli,0,0,,12,,0,1990-05-13,1990-09-30,0,0,0,0,0,0.0
14,brabham,0,1,,6,,0,1990-05-13,1990-11-04,0,0,0,0,7,0.0
14,pirro,0,3,,0,,0,1990-05-13,1990-11-04,0,1,0,0,11,0.0
14,nannini,0,10,,0,,3,1990-03-11,1990-09-30,0,8,0,6,4,21.0
14,langes,0,0,,14,,0,1990-03-11,1990-09-30,0,0,0,0,0,0.0
14,donnelly,0,5,,1,,0,1990-03-11,1990-09-30,0,3,0,0,8,0.0
14,caffi,0,9,,3,,0,1990-03-25,1990-11-04,0,8,0,1,2,2.0
14,barilla,0,4,,6,,0,1990-03-11,1990-09-30,0,0,0,0,4,0.0
16,senna,0,12,1990-03-11,0,1990-09-09,11,1990-03-11,1990-11-04,10,11,6,11,4,78.0
16,bernard,0,8,,0,,0,1990-03-11,1990-11-04,0,7,0,3,8,5.0
16,berger,0,13,,0,,7,1990-03-11,1990-11-04,2,11,0,11,3,43.0
16,alliot,0,9,,2,,0,1990-03-11,1990-11-04,0,3,0,0,5,0.0
16,capelli,0,4,,2,,1,1990-03-11,1990-11-04,0,4,0,1,10,6.0
16,cesaris,0,2,,1,,0,1990-03-11,1990-11-04,0,1,0,0,13,0.0
16,dalmas,0,2,,11,,0,1990-03-11,1990-11-04,0,1,0,0,3,0.0
16,alesi,0,10,,0,,2,1990-03-11,1990-11-04,0,9,0,3,6,13.0
16,alboreto,0,8,,3,,0,1990-03-11,1990-11-04,0,4,0,0,5,0.0
16,gachot,0,0,,16,,0,1990-03-11,1990-11-04,0,0,0,0,0,0.0
16,tarquini,0,1,,12,,0,1990-03-11,1990-11-04,0,0,0,0,3,0.0
16,larini,0,13,,0,,0,1990-03-11,1990-11-04,0,7,0,0,3,0.0
16,patrese,0,12,1990-05-13,0,1990-05-13,1,1990-03-11,1990-11-04,0,11,1,8,4,23.0
16,warwick,0,7,,0,,0,1990-03-11,1990-11-04,0,5,0,2,9,3.0
16,suzuki,0,6,,0,,1,1990-03-11,1990-11-04,0,4,0,3,10,6.0
16,mansell,0,9,1990-09-23,0,1990-09-23,5,1990-03-11,1990-11-04,3,7,1,7,7,37.0
16,gugelmin,0,5,,4,,0,1990-03-11,1990-11-04,0,3,0,1,7,1.0
16,boutsen,0,10,1990-08-12,0,1990-08-12,3,1990-03-11,1990-11-04,1,10,1,10,6,34.0
16,martini,0,7,,1,,0,1990-03-11,1990-11-04,0,4,0,0,8,0.0
16,modena,0,7,,0,,0,1990-03-11,1990-11-04,0,3,0,1,9,2.0
16,grouillard,0,4,,7,,0,1990-03-11,1990-11-04,0,0,0,0,5,0.0
16,moreno,0,3,,12,,1,1990-03-11,1990-11-04,0,2,0,1,1,6.0
16,piquet,0,13,1990-10-21,0,1990-11-04,4,1990-03-11,1990-11-04,0,13,2,12,3,44.0
16,prost,0,12,1990-03-25,0,1990-09-30,9,1990-03-11,1990-11-04,0,12,5,12,4,73.0
16,satoru_nakajima,0,5,,1,,0,1990-03-11,1990-11-04,0,4,0,3,10,3.0
2,johansson,0,0,,2,,0,1990-03-11,1990-03-25,0,0,0,0,0,0.0
2,gary_brabham,0,0,,2,,0,1990-03-11,1990-03-25,0,0,0,0,0,0.0
2,herbert,0,0,,0,,0,1990-10-21,1990-11-04,0,0,0,0,2,0.0
2,schneider,0,1,,1,,0,1990-03-11,1990-09-30,0,0,0,0,0,0.0
4,morbidelli,0,1,,1,,0,1990-03-11,1990-11-04,0,0,0,0,2,0.0
