participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,burti,0,1,,0,,0,2000-07-16,2000-07-16,0,0,0,0,0,0.0
16,irvine,0,12,,0,,0,2000-03-12,2000-10-22,0,8,0,2,4,4.0
16,heidfeld,0,6,,0,,0,2000-03-12,2000-10-22,0,3,0,0,10,0.0
17,michael_schumacher,0,13,2000-03-12,0,2000-10-22,12,2000-03-12,2000-10-22,9,13,9,13,4,108.0
17,alesi,0,5,,0,,0,2000-03-12,2000-10-22,0,2,0,0,12,0.0
17,barrichello,0,13,2000-07-30,0,2000-07-30,9,2000-03-12,2000-10-22,1,13,1,13,4,62.0
17,button,0,11,,0,,0,2000-03-12,2000-10-22,0,9,0,6,6,12.0
17,diniz,0,10,,1,,0,2000-03-12,2000-10-22,0,6,0,0,6,0.0
17,fisichella,0,12,,0,,3,2000-03-12,2000-10-22,0,9,0,5,5,18.0
17,frentzen,0,8,,0,,2,2000-03-12,2000-10-22,0,7,0,5,9,11.0
17,gene,0,10,,0,,0,2000-03-12,2000-10-22,0,3,0,0,7,0.0
17,coulthard,0,14,2000-04-23,0,2000-07-02,11,2000-03-12,2000-10-22,2,14,3,13,3,73.0
17,herbert,0,9,,0,,0,2000-03-12,2000-10-22,0,5,0,0,8,0.0
17,hakkinen,0,14,2000-05-07,0,2000-08-27,11,2000-03-12,2000-10-22,5,14,4,14,3,89.0
17,mazzacane,0,12,,0,,0,2000-03-12,2000-10-22,0,3,0,0,5,0.0
17,ralf_schumacher,0,10,,0,,3,2000-03-12,2000-10-22,0,9,0,8,7,24.0
17,rosa,0,6,,0,,0,2000-03-12,2000-10-22,0,3,0,2,11,2.0
17,salo,0,12,,1,,0,2000-03-12,2000-10-22,0,12,0,4,4,6.0
17,trulli,0,10,,0,,0,2000-03-12,2000-10-22,0,6,0,4,7,6.0
17,verstappen,0,7,,0,,0,2000-03-12,2000-10-22,0,4,0,2,10,5.0
17,villeneuve,0,13,,0,,0,2000-03-12,2000-10-22,0,10,0,7,4,17.0
17,wurz,0,12,,0,,0,2000-03-12,2000-10-22,0,9,0,1,5,2.0
17,zonta,0,10,,0,,0,2000-03-12,2000-10-22,0,7,0,3,7,3.0
