participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,zonta,0,0,,0,,0,2005-06-19,2005-06-19,0,0,0,0,1,0.0
1,wurz,0,1,,0,,1,2005-04-24,2005-04-24,0,1,0,1,0,6.0
1,rosa,1,1,,0,,0,2005-04-03,2005-04-03,0,1,0,1,0,4.0
1,davidson,0,0,,0,,0,2005-03-20,2005-03-20,0,0,0,0,1,0.0
11,friesacher,0,5,,0,,0,2005-03-06,2005-07-10,0,1,0,1,6,3.0
14,heidfeld,0,9,,0,,3,2005-03-06,2005-08-21,1,6,0,5,5,28.0
15,klien,0,11,,0,,0,2005-03-06,2005-10-16,0,9,0,5,4,9.0
16,sato,0,8,,0,,0,2005-03-06,2005-10-16,0,3,0,1,8,1.0
17,montoya,1,11,2005-07-10,0,2005-09-25,5,2005-03-06,2005-10-16,2,10,3,10,6,60.0
17,button,0,11,,0,,2,2005-03-06,2005-10-16,1,11,0,10,6,37.0
18,ralf_schumacher,1,17,,0,,2,2005-03-06,2005-10-16,1,15,0,14,1,45.0
19,alonso,2,17,2005-03-20,0,2005-10-16,15,2005-03-06,2005-10-16,6,16,7,16,2,133.0
19,karthikeyan,0,14,,0,,0,2005-03-06,2005-10-16,0,1,0,1,5,5.0
19,coulthard,0,14,,0,,0,2005-03-06,2005-10-16,0,11,0,9,5,24.0
19,massa,0,16,,0,,0,2005-03-06,2005-10-16,0,12,0,4,3,11.0
19,monteiro,0,18,,0,,1,2005-03-06,2005-10-16,0,4,0,2,1,7.0
19,barrichello,0,17,,0,,4,2005-03-06,2005-10-16,0,14,0,8,2,38.0
19,albers,0,13,,0,,0,2005-03-06,2005-10-16,0,1,0,1,6,4.0
19,michael_schumacher,3,13,2005-06-19,0,2005-06-19,5,2005-03-06,2005-10-16,1,13,1,12,6,62.0
19,trulli,0,15,,0,,3,2005-03-06,2005-10-16,1,12,0,9,4,43.0
19,villeneuve,0,15,,0,,0,2005-03-06,2005-10-16,0,5,0,3,4,9.0
19,webber,0,13,,0,,1,2005-03-06,2005-10-16,0,10,0,10,6,36.0
19,fisichella,1,13,2005-03-06,0,2005-03-06,3,2005-03-06,2005-10-16,1,12,1,11,6,58.0
19,raikkonen,10,16,2005-05-08,0,2005-10-09,12,2005-03-06,2005-10-16,5,15,7,14,3,112.0
4,liuzzi,0,2,,0,,0,2005-04-24,2005-05-29,0,2,0,1,2,1.0
5,pizzonia,0,3,,0,,0,2005-09-04,2005-10-16,0,1,0,1,2,2.0
8,doornbos,0,6,,0,,0,2005-07-24,2005-10-16,0,0,0,0,2,0.0
