participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
13,rosa,0,7,,0,,0,2001-04-29,2001-10-14,0,3,0,2,6,3.0
14,burti,0,8,,0,,0,2001-03-04,2001-09-02,0,4,0,0,6,0.0
14,marques,0,6,,1,,0,2001-03-04,2001-09-02,0,2,0,0,7,0.0
15,frentzen,0,9,,0,,0,2001-03-04,2001-10-14,0,7,0,3,6,6.0
17,michael_schumacher,0,15,2001-03-04,0,2001-10-14,14,2001-03-04,2001-10-14,11,15,9,15,2,123.0
17,alesi,0,16,,0,,0,2001-03-04,2001-10-14,0,13,0,4,1,5.0
17,alonso,0,9,,0,,0,2001-03-04,2001-10-14,0,1,0,0,8,0.0
17,barrichello,0,14,,0,,10,2001-03-04,2001-10-14,0,13,0,13,3,56.0
17,bernoldi,0,7,,0,,0,2001-03-04,2001-10-14,0,3,0,0,10,0.0
17,montoya,0,6,2001-09-16,0,2001-09-16,4,2001-03-04,2001-10-14,3,6,1,5,11,31.0
17,button,0,11,,0,,0,2001-03-04,2001-10-14,0,5,0,1,6,2.0
17,fisichella,0,11,,0,,1,2001-03-04,2001-10-14,0,5,0,3,6,8.0
17,hakkinen,0,10,2001-07-15,0,2001-09-30,3,2001-03-04,2001-10-14,0,10,2,9,7,37.0
17,heidfeld,0,11,,0,,1,2001-03-04,2001-10-14,0,10,0,7,6,12.0
17,irvine,0,6,,0,,1,2001-03-04,2001-10-14,0,5,0,2,11,6.0
17,coulthard,0,13,2001-04-01,0,2001-05-13,10,2001-03-04,2001-10-14,2,13,2,13,4,65.0
17,panis,0,11,,0,,0,2001-03-04,2001-10-14,0,8,0,2,6,5.0
17,raikkonen,0,10,,0,,0,2001-03-04,2001-10-14,0,10,0,4,7,9.0
17,ralf_schumacher,0,10,2001-04-15,0,2001-07-29,5,2001-03-04,2001-10-14,1,10,3,9,7,49.0
17,trulli,0,8,,0,,0,2001-03-04,2001-10-14,0,7,0,5,9,12.0
17,verstappen,0,12,,0,,0,2001-03-04,2001-10-14,0,8,0,1,5,1.0
17,villeneuve,0,11,,0,,2,2001-03-04,2001-10-14,0,11,0,4,6,12.0
2,zonta,0,1,,0,,0,2001-06-10,2001-07-29,0,1,0,0,1,0.0
3,enge,0,2,,0,,0,2001-09-16,2001-10-14,0,0,0,0,1,0.0
3,yoong,0,1,,0,,0,2001-09-16,2001-10-14,0,0,0,0,2,0.0
4,mazzacane,0,1,,0,,0,2001-03-04,2001-04-15,0,0,0,0,3,0.0
