participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,klerk,0,0,,0,,0,1969-03-01,1969-03-01,0,0,0,0,1,0.0
1,tingle,0,1,,0,,0,1969-03-01,1969-03-01,0,1,0,0,0,0.0
1,rooyen,0,0,,0,,0,1969-03-01,1969-03-01,0,0,0,0,1,0.0
1,attwood,0,1,,0,,0,1969-05-18,1969-05-18,0,1,0,1,0,3.0
1,bell,0,0,,0,,0,1969-07-19,1969-07-19,0,0,0,0,1,0.0
1,pease,0,0,,0,,0,1969-09-20,1969-09-20,0,0,0,0,1,0.0
1,brack,0,0,,0,,0,1969-09-20,1969-09-20,0,0,0,0,1,0.0
1,cordts,0,0,,0,,0,1969-09-20,1969-09-20,0,0,0,0,1,0.0
1,love,0,0,,0,,0,1969-03-01,1969-03-01,0,0,0,0,1,0.0
10,hill,0,7,1969-05-18,0,1969-05-18,2,1969-03-01,1969-10-05,0,7,1,4,3,19.0
10,surtees,0,3,,0,,1,1969-03-01,1969-10-19,0,3,0,2,7,6.0
10,rindt,0,4,1969-10-05,0,1969-10-05,3,1969-03-01,1969-10-19,5,4,1,4,6,22.0
10,oliver,0,2,,0,,0,1969-03-01,1969-10-19,0,2,0,1,8,1.0
10,courage,0,5,,0,,2,1969-05-04,1969-10-19,0,5,0,4,5,16.0
11,stewart,0,8,1969-03-01,0,1969-09-07,7,1969-03-01,1969-10-19,2,8,6,8,3,63.0
11,mclaren,0,8,,0,,3,1969-03-01,1969-10-19,0,8,0,8,3,26.0
11,beltoise,0,9,,0,,3,1969-03-01,1969-10-19,0,9,0,7,2,21.0
11,siffert,0,7,,0,,2,1969-03-01,1969-10-19,0,7,0,4,4,15.0
11,hulme,0,7,1969-10-19,0,1969-10-19,2,1969-03-01,1969-10-19,0,7,1,5,4,20.0
11,ickx,0,8,1969-08-03,0,1969-09-20,5,1969-03-01,1969-10-19,2,8,2,7,3,37.0
2,eaton,0,0,,0,,0,1969-10-05,1969-10-19,0,0,0,0,2,0.0
2,bonnier,0,0,,0,,0,1969-07-19,1969-08-03,0,0,0,0,2,0.0
3,gavin,0,2,,0,,0,1969-09-20,1969-10-19,0,2,0,1,1,1.0
3,lovely,0,2,,0,,0,1969-09-20,1969-10-19,0,2,0,0,1,0.0
3,mario_andretti,0,0,,0,,0,1969-03-01,1969-10-05,0,0,0,0,3,0.0
5,elford,0,4,,0,,0,1969-05-18,1969-08-03,0,4,0,2,1,3.0
5,miles,0,1,,0,,0,1969-07-06,1969-10-19,0,1,0,0,4,0.0
6,amon,0,1,,0,,1,1969-03-01,1969-07-19,0,1,0,1,5,4.0
7,moser,0,3,,0,,0,1969-05-18,1969-10-19,0,2,0,1,4,1.0
8,jack_brabham,0,4,,0,,2,1969-03-01,1969-10-19,2,4,0,4,4,14.0
8,rodriguez,0,3,,0,,0,1969-03-01,1969-10-19,0,3,0,2,5,3.0
