participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,lees,0,1,,0,,0,1979-07-29,1979-07-29,0,1,0,0,0,0.0
10,daly,0,3,,4,,0,1979-01-21,1979-10-07,0,1,0,0,3,0.0
13,jarier,0,7,,0,,2,1979-01-21,1979-10-07,0,6,0,6,6,14.0
14,rebaque,0,3,,4,,0,1979-01-21,1979-10-07,0,2,0,0,7,0.0
14,merzario,0,0,,12,,0,1979-01-21,1979-10-07,0,0,0,0,2,0.0
14,lauda,0,2,,1,,0,1979-01-21,1979-09-30,0,2,0,2,11,4.0
15,jones,0,8,1979-07-29,0,1979-09-30,5,1979-01-21,1979-10-07,3,8,4,6,7,43.0
15,angelis,0,7,,1,,0,1979-01-21,1979-10-07,0,3,0,1,7,3.0
15,arnoux,0,5,,1,,3,1979-01-21,1979-10-07,2,5,0,4,9,17.0
15,pironi,0,9,,0,,2,1979-01-21,1979-10-07,0,9,0,5,6,14.0
15,regazzoni,0,10,1979-07-14,0,1979-07-14,5,1979-01-21,1979-10-07,0,9,1,7,5,32.0
15,emerson_fittipaldi,0,8,,0,,0,1979-01-21,1979-10-07,0,5,0,1,7,1.0
15,watson,0,10,,0,,1,1979-01-21,1979-10-07,0,9,0,7,5,15.0
15,tambay,0,5,,2,,0,1979-01-21,1979-10-07,0,4,0,0,8,0.0
15,stuck,0,4,,3,,0,1979-01-21,1979-10-07,0,2,0,1,8,2.0
15,jabouille,0,3,1979-07-01,1,1979-07-01,1,1979-01-21,1979-10-07,4,2,1,1,11,9.0
15,reutemann,0,9,,0,,4,1979-01-21,1979-10-07,0,8,0,6,6,25.0
15,lammers,0,7,,3,,0,1979-01-21,1979-10-07,0,3,0,0,5,0.0
15,gilles_villeneuve,0,12,1979-03-03,0,1979-10-07,7,1979-01-21,1979-10-07,1,11,3,8,3,53.0
15,laffite,0,7,1979-01-21,0,1979-02-04,6,1979-01-21,1979-10-07,4,7,2,6,8,36.0
15,mario_andretti,0,6,,0,,1,1979-01-21,1979-10-07,0,6,0,5,9,14.0
15,mass,0,9,,2,,0,1979-01-21,1979-10-07,0,7,0,3,4,3.0
15,scheckter,0,13,1979-05-13,0,1979-09-09,6,1979-01-21,1979-10-07,1,13,3,12,2,60.0
15,patrese,0,6,,0,,0,1979-01-21,1979-10-07,0,3,0,1,9,2.0
15,piquet,0,4,,0,,0,1979-01-21,1979-10-07,0,3,0,1,11,3.0
2,zunino,0,1,,0,,0,1979-09-30,1979-10-07,0,1,0,0,1,0.0
2,ribeiro,0,0,,2,,0,1979-09-30,1979-10-07,0,0,0,0,0,0.0
3,brambilla,0,1,,1,,0,1979-09-09,1979-10-07,0,0,0,0,1,0.0
3,surer,0,0,,2,,0,1979-09-09,1979-10-07,0,0,0,0,1,0.0
3,brancatelli,0,0,,3,,0,1979-04-29,1979-05-27,0,0,0,0,0,0.0
4,giacomelli,0,1,,0,,0,1979-05-13,1979-10-07,0,0,0,0,3,0.0
5,gaillard,0,1,,3,,0,1979-07-01,1979-08-26,0,0,0,0,1,0.0
7,depailler,0,5,1979-04-29,0,1979-04-29,2,1979-01-21,1979-05-27,0,5,1,5,2,22.0
7,hunt,0,1,,0,,0,1979-01-21,1979-05-27,0,1,0,0,6,0.0
8,keke_rosberg,0,1,,1,,0,1979-07-01,1979-10-07,0,1,0,0,6,0.0
8,ickx,0,2,,0,,0,1979-07-01,1979-10-07,0,2,0,2,6,3.0
