participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,moreno,0,0,,1,,0,1982-07-03,1982-07-03,0,0,0,0,0,0.0
10,mass,0,6,,1,,0,1982-01-23,1982-07-25,0,4,0,0,3,0.0
12,pironi,0,9,1982-04-25,1,1982-07-03,6,1982-01-23,1982-08-08,2,8,2,7,2,39.0
12,surer,0,9,,0,,0,1982-05-09,1982-09-25,0,7,0,2,3,3.0
13,mansell,0,6,,0,,1,1982-01-23,1982-09-25,0,6,0,2,7,7.0
14,serra,0,6,,5,,0,1982-01-23,1982-09-25,0,2,0,1,3,1.0
14,lauda,0,7,1982-04-04,0,1982-07-18,3,1982-01-23,1982-09-25,0,7,2,6,7,30.0
14,warwick,0,2,,3,,0,1982-01-23,1982-09-25,0,1,0,0,9,0.0
14,fabi,0,0,,7,,0,1982-01-23,1982-09-25,0,0,0,0,7,0.0
15,guerrero,0,1,,6,,0,1982-01-23,1982-09-25,0,1,0,0,8,0.0
15,piquet,0,4,1982-06-13,1,1982-06-13,2,1982-01-23,1982-09-25,1,4,1,4,10,20.0
15,baldi,0,7,,4,,0,1982-01-23,1982-09-25,0,5,0,2,4,2.0
15,boesel,0,4,,5,,0,1982-01-23,1982-09-25,0,2,0,0,6,0.0
15,patrese,0,5,1982-05-23,0,1982-05-23,3,1982-01-23,1982-09-25,0,4,1,4,10,21.0
15,keke_rosberg,0,11,1982-08-29,0,1982-08-29,6,1982-01-23,1982-09-25,1,11,1,10,4,44.0
15,angelis,0,8,1982-08-15,0,1982-08-15,1,1982-01-23,1982-09-25,0,8,1,7,7,23.0
15,cheever,0,6,,1,,3,1982-01-23,1982-09-25,0,5,0,4,8,15.0
15,daly,0,9,,0,,0,1982-01-23,1982-09-25,0,8,0,5,6,8.0
15,watson,0,11,1982-05-09,0,1982-06-06,5,1982-01-23,1982-09-25,0,10,2,8,4,39.0
15,laffite,0,4,,0,,1,1982-01-23,1982-09-25,0,3,0,2,11,5.0
16,arnoux,0,6,1982-07-25,0,1982-09-12,4,1982-01-23,1982-09-25,5,5,2,4,10,28.0
16,henton,0,7,,2,,0,1982-01-23,1982-09-25,0,6,0,0,7,0.0
16,jarier,0,3,,2,,0,1982-01-23,1982-09-25,0,2,0,1,11,3.0
16,giacomelli,0,7,,0,,0,1982-01-23,1982-09-25,0,4,0,1,9,2.0
16,manfred_winkelhock,0,4,,3,,0,1982-01-23,1982-09-25,0,2,0,1,9,2.0
16,cesaris,0,6,,0,,1,1982-01-23,1982-09-25,1,5,0,2,10,5.0
16,salazar,0,5,,3,,0,1982-01-23,1982-09-25,0,3,0,1,8,2.0
16,alboreto,0,11,1982-09-25,0,1982-09-25,2,1982-01-23,1982-09-25,0,11,1,7,5,25.0
16,prost,0,8,1982-01-23,0,1982-03-21,4,1982-01-23,1982-09-25,5,8,2,6,8,34.0
2,lees,0,1,,0,,0,1982-06-13,1982-07-25,0,0,0,0,1,0.0
2,reutemann,0,1,,0,,1,1982-01-23,1982-03-21,0,1,0,1,1,6.0
3,mario_andretti,0,1,,0,,1,1982-04-04,1982-09-25,1,1,0,1,2,4.0
3,borgudd,0,3,,0,,0,1982-01-23,1982-04-04,0,2,0,0,0,0.0
5,gilles_villeneuve,0,1,,1,,1,1982-01-23,1982-05-09,0,1,0,1,3,6.0
5,keegan,0,1,,2,,0,1982-08-08,1982-09-25,0,0,0,0,2,0.0
5,byrne,0,0,,3,,0,1982-08-08,1982-09-25,0,0,0,0,2,0.0
5,villota,0,0,,5,,0,1982-05-09,1982-07-03,0,0,0,0,0,0.0
6,lammers,0,0,,5,,0,1982-05-09,1982-07-25,0,0,0,0,1,0.0
8,paletti,0,0,,5,,0,1982-01-23,1982-06-13,0,0,0,0,3,0.0
8,tambay,0,6,1982-08-08,0,1982-08-08,3,1982-07-03,1982-09-25,0,6,1,5,2,25.0
