participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,slotemaker,0,0,,1,,0,1962-05-20,1962-05-20,0,0,0,0,0,0.0
1,walter,0,1,,0,,0,1962-08-05,1962-08-05,0,0,0,0,0,0.0
1,lippi,0,0,,1,,0,1962-09-16,1962-09-16,0,0,0,0,0,0.0
1,vyver,0,0,,1,,0,1962-12-29,1962-12-29,0,0,0,0,0,0.0
1,abate,0,0,,1,,0,1962-07-08,1962-07-08,0,0,0,0,0,0.0
1,arundell,0,0,,1,,0,1962-07-08,1962-07-08,0,0,0,0,0,0.0
1,prinoth,0,0,,1,,0,1962-09-16,1962-09-16,0,0,0,0,0,0.0
1,pon,0,0,,0,,0,1962-05-20,1962-05-20,0,0,0,0,1,0.0
1,pieterse,0,1,,0,,0,1962-12-29,1962-12-29,0,1,0,0,0,0.0
1,schroeder,0,1,,0,,0,1962-10-07,1962-10-07,0,1,0,0,0,0.0
1,sharp,0,1,,0,,0,1962-10-07,1962-10-07,0,0,0,0,0,0.0
1,lederle,0,1,,0,,0,1962-12-29,1962-12-29,0,1,0,1,0,1.0
1,bussinello,0,0,,1,,0,1962-06-03,1962-06-03,0,0,0,0,0,0.0
1,kuhnke,0,0,,1,,0,1962-09-16,1962-09-16,0,0,0,0,0,0.0
1,penske,0,1,,0,,0,1962-10-07,1962-10-07,0,1,0,0,0,0.0
1,collomb,0,0,,0,,0,1962-08-05,1962-08-05,0,0,0,0,1,0.0
1,davis,0,0,,1,,0,1962-07-08,1962-07-08,0,0,0,0,0,0.0
1,estefano,0,0,,1,,0,1962-09-16,1962-09-16,0,0,0,0,0,0.0
1,mayer,0,0,,0,,0,1962-10-07,1962-10-07,0,0,0,0,1,0.0
1,tingle,0,0,,1,,0,1962-12-29,1962-12-29,0,0,0,0,0,0.0
1,serrurier,0,0,,0,,0,1962-12-29,1962-12-29,0,0,0,0,1,0.0
1,hall,0,0,,1,,0,1962-10-07,1962-10-07,0,0,0,0,0,0.0
1,harris,0,0,,0,,0,1962-12-29,1962-12-29,0,0,0,0,1,0.0
1,hocking,0,0,,1,,0,1962-12-29,1962-12-29,0,0,0,0,0,0.0
1,seiffert,0,0,,1,,0,1962-08-05,1962-08-05,0,0,0,0,0,0.0
1,love,0,1,,0,,0,1962-12-29,1962-12-29,0,1,0,0,0,0.0
1,johnstone,0,1,,0,,0,1962-12-29,1962-12-29,0,1,0,0,0,0.0
2,ashmore,0,0,,2,,0,1962-06-17,1962-09-16,0,0,0,0,0,0.0
2,campbell-jones,0,1,,1,,0,1962-06-17,1962-07-21,0,0,0,0,0,0.0
2,schiller,0,0,,1,,0,1962-06-17,1962-08-05,0,0,0,0,1,0.0
2,bianchi,0,2,,0,,0,1962-06-17,1962-08-05,0,1,0,0,0,0.0
3,shelly,0,0,,2,,0,1962-07-21,1962-09-16,0,0,0,0,1,0.0
3,seidel,0,0,,1,,0,1962-05-20,1962-08-05,0,0,0,0,2,0.0
3,mairesse,0,2,,0,,0,1962-06-03,1962-09-16,0,2,0,1,1,3.0
3,settember,0,1,,1,,0,1962-07-21,1962-12-29,0,0,0,0,1,0.0
3,chamberlain,0,1,,2,,0,1962-07-21,1962-09-16,0,0,0,0,0,0.0
3,vaccarella,0,2,,1,,0,1962-06-03,1962-09-16,0,1,0,0,0,0.0
3,bandini,0,2,,0,,1,1962-06-03,1962-09-16,0,2,0,1,1,4.0
4,greene,0,0,,3,,0,1962-07-21,1962-09-16,0,0,0,0,1,0.0
4,marsh,0,0,,4,,0,1962-06-03,1962-08-05,0,0,0,0,0,0.0
4,burgess,0,2,,2,,0,1962-07-08,1962-09-16,0,0,0,0,0,0.0
4,baghetti,0,3,,0,,0,1962-05-20,1962-09-16,0,3,0,2,1,5.0
5,ricardo_rodriguez,0,3,,1,,0,1962-05-20,1962-09-16,0,2,0,2,1,4.0
6,siffert,0,2,,3,,0,1962-06-03,1962-09-16,0,1,0,0,1,0.0
6,phil_hill,0,4,,0,,3,1962-05-20,1962-09-16,0,3,0,3,2,14.0
6,lewis,0,2,,2,,0,1962-05-20,1962-08-05,0,2,0,0,2,0.0
7,gregory,0,3,,1,,0,1962-05-20,1962-10-07,0,2,0,1,3,1.0
8,jack_brabham,0,5,,0,,0,1962-05-20,1962-12-29,0,5,0,4,3,9.0
8,ireland,0,3,,0,,0,1962-05-20,1962-12-29,0,2,0,1,5,2.0
8,trintignant,0,2,,2,,0,1962-05-20,1962-10-07,0,2,0,0,4,0.0
8,bonnier,0,5,,1,,0,1962-05-20,1962-10-07,0,4,0,2,2,3.0
8,gurney,0,5,1962-07-08,1,1962-07-08,2,1962-05-20,1962-10-07,1,4,1,3,2,15.0
9,hill,0,9,1962-05-20,0,1962-12-29,6,1962-05-20,1962-12-29,1,9,4,8,0,52.0
9,salvadori,0,0,,2,,0,1962-05-20,1962-12-29,0,0,0,0,7,0.0
9,surtees,0,5,,0,,2,1962-05-20,1962-12-29,1,5,0,5,4,19.0
