participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,chandhok,0,1,,0,,0,2011-07-24,2011-07-24,0,0,0,0,0,0.0
1,rosa,0,1,,0,,0,2011-06-12,2011-06-12,0,0,0,0,0,0.0
11,ricciardo,0,8,,0,,0,2011-07-10,2011-11-27,0,0,0,0,3,0.0
11,heidfeld,0,8,,0,,1,2011-03-27,2011-07-31,0,6,0,6,3,34.0
17,perez,0,13,,0,,0,2011-03-27,2011-11-27,0,5,0,5,4,14.0
17,liuzzi,0,12,,0,,0,2011-04-10,2011-11-27,0,0,0,0,5,0.0
18,trulli,0,14,,0,,0,2011-03-27,2011-11-27,0,0,0,0,4,0.0
19,vettel,3,18,2011-03-27,0,2011-10-30,17,2011-03-27,2011-11-27,15,18,11,18,1,392.0
19,sutil,0,17,,0,,0,2011-03-27,2011-11-27,0,9,0,9,2,42.0
19,buemi,0,14,,0,,0,2011-03-27,2011-11-27,0,7,0,7,5,15.0
19,barrichello,0,16,,0,,0,2011-03-27,2011-11-27,0,2,0,2,3,4.0
19,glock,0,13,,0,,0,2011-03-27,2011-11-27,0,0,0,0,6,0.0
19,ambrosio,0,16,,0,,0,2011-03-27,2011-11-27,0,0,0,0,3,0.0
19,button,3,17,2011-06-12,0,2011-10-09,12,2011-03-27,2011-11-27,0,17,3,17,2,270.0
19,kobayashi,0,15,,0,,0,2011-03-27,2011-11-27,0,9,0,9,4,30.0
19,kovalainen,0,14,,0,,0,2011-03-27,2011-11-27,0,0,0,0,5,0.0
19,alguersuari,0,16,,0,,0,2011-03-27,2011-11-27,0,7,0,7,3,26.0
19,maldonado,0,13,,0,,0,2011-03-27,2011-11-27,0,1,0,1,6,1.0
19,massa,2,16,,0,,0,2011-03-27,2011-11-27,0,15,0,15,3,118.0
19,michael_schumacher,0,14,,0,,0,2011-03-27,2011-11-27,0,11,0,11,5,76.0
19,webber,6,18,2011-11-27,0,2011-11-27,10,2011-03-27,2011-11-27,3,18,1,18,1,258.0
19,petrov,0,16,,0,,1,2011-03-27,2011-11-27,0,8,0,8,3,37.0
19,resta,0,18,,0,,0,2011-03-27,2011-11-27,0,8,0,8,1,27.0
19,alonso,1,18,2011-07-10,0,2011-07-10,10,2011-03-27,2011-11-27,0,18,1,18,1,257.0
19,hamilton,3,16,2011-04-17,0,2011-11-13,6,2011-03-27,2011-11-27,1,16,3,16,3,227.0
19,rosberg,0,17,,0,,0,2011-03-27,2011-11-27,0,14,0,14,2,89.0
8,bruno_senna,0,8,,0,,0,2011-08-28,2011-11-27,0,1,0,1,0,2.0
8,karthikeyan,0,7,,0,,0,2011-04-10,2011-10-30,0,0,0,0,1,0.0
