participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,ickx,0,1,,0,,0,1977-05-22,1977-05-22,0,1,0,0,0,0.0
1,trimmer,0,0,,1,,0,1977-07-16,1977-07-16,0,0,0,0,0,0.0
1,heyer,0,0,,0,,0,1977-07-31,1977-07-31,0,0,0,0,1,0.0
1,takahashi,0,1,,0,,0,1977-10-23,1977-10-23,0,1,0,0,0,0.0
1,takahara,0,0,,0,,0,1977-10-23,1977-10-23,0,0,0,0,1,0.0
1,sutcliffe,0,0,,1,,0,1977-07-16,1977-07-16,0,0,0,0,0,0.0
1,hoshino,0,1,,0,,0,1977-10-23,1977-10-23,0,0,0,0,0,0.0
1,oliver,0,1,,0,,0,1977-06-19,1977-06-19,0,1,0,0,0,0.0
1,bleekemolen,0,0,,1,,0,1977-08-28,1977-08-28,0,0,0,0,0,0.0
1,mcguire,0,0,,1,,0,1977-07-16,1977-07-16,0,0,0,0,0,0.0
1,dryver,0,0,,1,,0,1977-06-05,1977-06-05,0,0,0,0,0,0.0
1,edwards,0,0,,1,,0,1977-07-16,1977-07-16,0,0,0,0,0,0.0
1,francia,0,0,,1,,0,1977-09-11,1977-09-11,0,0,0,0,0,0.0
1,giacomelli,0,0,,0,,0,1977-09-11,1977-09-11,0,0,0,0,1,0.0
1,leoni,0,0,,1,,0,1977-09-11,1977-09-11,0,0,0,0,0,0.0
1,kessel,0,0,,1,,0,1977-09-11,1977-09-11,0,0,0,0,0,0.0
11,neve,0,7,,3,,0,1977-05-08,1977-10-09,0,4,0,0,1,0.0
12,binder,0,6,,1,,0,1977-01-09,1977-10-23,0,2,0,0,5,0.0
12,lunger,0,8,,1,,0,1977-03-05,1977-10-09,0,4,0,0,3,0.0
12,keegan,0,6,,0,,0,1977-05-08,1977-10-09,0,4,0,0,6,0.0
13,jarier,0,7,,1,,0,1977-04-03,1977-10-23,0,4,0,1,5,1.0
14,jones,0,8,1977-08-14,0,1977-08-14,2,1977-04-03,1977-10-23,0,7,1,6,6,22.0
14,ian_scheckter,0,2,,1,,0,1977-01-09,1977-10-09,0,1,0,0,11,0.0
15,lauda,0,12,1977-03-05,0,1977-08-28,10,1977-01-09,1977-10-02,2,12,3,12,3,72.0
15,stuck,0,8,,0,,2,1977-03-05,1977-10-23,0,8,0,5,7,12.0
16,emerson_fittipaldi,0,10,,2,,0,1977-01-09,1977-10-09,0,5,0,4,4,11.0
16,regazzoni,0,6,,2,,0,1977-01-09,1977-10-23,0,6,0,3,8,5.0
17,mario_andretti,0,10,1977-04-03,0,1977-09-11,5,1977-01-09,1977-10-23,7,9,4,8,7,47.0
17,watson,0,5,,0,,1,1977-01-09,1977-10-23,1,4,0,3,12,9.0
17,hunt,0,9,1977-07-16,0,1977-10-23,5,1977-01-09,1977-10-23,6,8,3,6,8,40.0
17,scheckter,0,10,1977-01-09,0,1977-10-09,9,1977-01-09,1977-10-23,1,10,3,9,7,55.0
17,mass,0,9,,0,,2,1977-01-09,1977-10-23,0,9,0,8,8,25.0
17,depailler,0,8,,0,,3,1977-01-09,1977-10-23,0,6,0,5,9,20.0
17,laffite,0,10,1977-06-19,0,1977-06-19,2,1977-01-09,1977-10-23,0,10,1,4,7,18.0
17,brambilla,0,12,,0,,0,1977-01-09,1977-10-23,0,8,0,3,5,6.0
17,nilsson,0,8,1977-06-05,0,1977-06-05,2,1977-01-09,1977-10-23,0,6,1,5,9,20.0
17,reutemann,0,13,1977-01-23,0,1977-01-23,6,1977-01-09,1977-10-23,0,12,1,11,4,42.0
17,ribeiro,0,5,,8,,0,1977-01-09,1977-10-23,0,2,0,0,4,0.0
17,peterson,0,7,,0,,1,1977-01-09,1977-10-23,0,5,0,3,10,7.0
2,hoffmann,0,1,,0,,0,1977-01-09,1977-01-23,0,1,0,0,1,0.0
2,kozarowitzky,0,0,,2,,0,1977-06-19,1977-07-16,0,0,0,0,0,0.0
2,ongais,0,1,,0,,0,1977-10-02,1977-10-09,0,1,0,0,1,0.0
3,pryce,0,0,,0,,0,1977-01-09,1977-03-05,0,0,0,0,3,0.0
3,gilles_villeneuve,0,2,,0,,0,1977-07-16,1977-10-23,0,0,0,0,1,0.0
3,pace,0,2,,0,,1,1977-01-09,1977-03-05,0,1,0,1,1,6.0
3,pilette,0,0,,3,,0,1977-07-31,1977-09-11,0,0,0,0,0,0.0
4,andersson,0,0,,4,,0,1977-05-08,1977-07-03,0,0,0,0,0,0.0
4,schuppan,0,3,,1,,0,1977-07-16,1977-08-28,0,1,0,0,0,0.0
5,jabouille,0,0,,1,,0,1977-07-16,1977-10-09,0,0,0,0,4,0.0
5,purley,0,2,,2,,0,1977-05-08,1977-07-16,0,0,0,0,1,0.0
5,perkins,0,2,,2,,0,1977-01-23,1977-07-03,0,0,0,0,1,0.0
5,ashley,0,1,,4,,0,1977-08-14,1977-10-09,0,0,0,0,0,0.0
