participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,watson,0,1,,0,,0,1985-10-06,1985-10-06,0,1,0,0,0,0.0
1,arnoux,0,1,,0,,0,1985-04-07,1985-04-07,0,1,0,1,0,3.0
10,bellof,0,7,,1,,0,1985-04-21,1985-08-25,0,4,0,2,2,4.0
11,cesaris,0,3,,0,,0,1985-04-07,1985-08-25,0,2,0,1,8,3.0
12,surer,0,9,,0,,0,1985-06-16,1985-11-03,0,7,0,3,3,5.0
13,fabi,0,2,,0,,0,1985-05-19,1985-11-03,1,0,0,0,11,0.0
14,lauda,0,3,1985-08-25,0,1985-08-25,1,1985-04-07,1985-11-03,0,3,1,3,11,14.0
14,alliot,0,1,,1,,0,1985-04-07,1985-10-06,0,1,0,0,12,0.0
15,warwick,0,7,,0,,0,1985-04-07,1985-11-03,0,7,0,3,8,5.0
15,tambay,0,8,,0,,2,1985-04-07,1985-11-03,0,7,0,4,7,11.0
15,martini,0,3,,0,,0,1985-04-07,1985-11-03,0,1,0,0,12,0.0
15,laffite,0,8,,0,,3,1985-04-07,1985-11-03,0,6,0,5,7,16.0
15,ghinzani,0,3,,2,,0,1985-04-07,1985-11-03,0,1,0,0,10,0.0
16,prost,0,12,1985-04-07,0,1985-09-08,11,1985-04-07,1985-11-03,2,12,5,12,4,76.0
16,boutsen,0,12,,0,,1,1985-04-07,1985-11-03,0,11,0,4,4,11.0
16,brundle,0,10,,1,,0,1985-04-07,1985-11-03,0,8,0,0,5,0.0
16,angelis,0,11,1985-05-05,0,1985-05-05,3,1985-04-07,1985-11-03,1,11,1,11,5,33.0
16,berger,0,9,,0,,0,1985-04-07,1985-11-03,0,7,0,2,7,3.0
16,cheever,0,4,,0,,0,1985-04-07,1985-11-03,0,2,0,0,12,0.0
16,alboreto,0,10,1985-06-16,0,1985-08-04,8,1985-04-07,1985-11-03,1,9,2,9,6,53.0
16,keke_rosberg,0,9,1985-06-23,0,1985-11-03,5,1985-04-07,1985-11-03,2,8,2,7,7,40.0
16,mansell,0,10,1985-10-06,0,1985-10-19,3,1985-04-07,1985-11-03,1,9,2,8,6,31.0
16,senna,0,9,1985-04-21,0,1985-09-15,6,1985-04-07,1985-11-03,7,8,2,6,7,38.0
16,johansson,0,11,,0,,2,1985-04-07,1985-11-03,0,11,0,8,5,26.0
16,patrese,0,4,,0,,0,1985-04-07,1985-11-03,0,3,0,0,12,0.0
16,piquet,0,7,1985-07-07,0,1985-07-07,2,1985-04-07,1985-11-03,1,7,1,5,9,21.0
2,capelli,0,1,,0,,0,1985-10-06,1985-11-03,0,1,0,1,1,3.0
2,acheson,0,0,,0,,0,1985-08-18,1985-09-08,0,0,0,0,2,0.0
2,danner,0,0,,0,,0,1985-09-15,1985-10-06,0,0,0,0,2,0.0
3,baldi,0,0,,0,,0,1985-04-07,1985-05-05,0,0,0,0,3,0.0
4,jones,0,0,,0,,0,1985-09-08,1985-11-03,0,0,0,0,4,0.0
5,streiff,0,4,,0,,1,1985-09-08,1985-11-03,0,4,0,1,1,4.0
5,hesnault,0,0,,1,,0,1985-04-07,1985-08-04,0,0,0,0,4,0.0
7,rothengatter,0,2,,0,,0,1985-08-04,1985-11-03,0,2,0,0,5,0.0
8,palmer,0,1,,0,,0,1985-04-21,1985-08-25,0,0,0,0,7,0.0
9,manfred_winkelhock,0,2,,1,,0,1985-04-07,1985-08-04,0,0,0,0,6,0.0
