participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
10,montoya,0,5,,0,,2,2006-03-12,2006-07-02,0,5,0,5,5,26.0
12,villeneuve,0,8,,0,,0,2006-03-12,2006-07-30,0,4,0,4,4,7.0
15,klien,0,8,,0,,0,2006-03-12,2006-09-10,0,2,0,2,7,2.0
18,alonso,5,16,2006-03-12,0,2006-10-08,14,2006-03-12,2006-10-22,6,16,7,16,2,134.0
18,fisichella,0,16,2006-03-19,0,2006-03-19,5,2006-03-12,2006-10-22,1,16,1,16,2,72.0
18,albers,0,10,,0,,0,2006-03-12,2006-10-22,0,1,0,0,8,0.0
18,barrichello,0,15,,0,,0,2006-03-12,2006-10-22,0,13,0,10,3,30.0
18,coulthard,0,13,,0,,1,2006-03-12,2006-10-22,0,8,0,5,5,14.0
18,heidfeld,0,15,,0,,1,2006-03-12,2006-10-22,0,11,0,10,3,23.0
18,button,0,14,2006-08-06,0,2006-08-06,3,2006-03-12,2006-10-22,1,13,1,11,4,56.0
18,liuzzi,0,14,,0,,0,2006-03-12,2006-10-22,0,4,0,1,4,1.0
18,monteiro,0,11,,0,,0,2006-03-12,2006-10-22,0,1,0,0,7,0.0
18,massa,2,16,2006-08-27,0,2006-10-22,7,2006-03-12,2006-10-22,3,16,2,13,2,80.0
18,raikkonen,3,12,,0,,6,2006-03-12,2006-10-22,3,12,0,12,6,65.0
18,ralf_schumacher,0,11,,0,,1,2006-03-12,2006-10-22,0,9,0,7,7,20.0
18,rosberg,1,9,,0,,0,2006-03-12,2006-10-22,0,5,0,2,9,4.0
18,sato,0,10,,0,,0,2006-03-12,2006-10-22,0,1,0,0,8,0.0
18,speed,0,14,,0,,0,2006-03-12,2006-10-22,0,3,0,0,4,0.0
18,trulli,0,13,,0,,0,2006-03-12,2006-10-22,0,9,0,5,5,15.0
18,michael_schumacher,7,16,2006-04-23,0,2006-10-01,12,2006-03-12,2006-10-22,4,16,7,16,2,121.0
18,webber,0,7,,0,,0,2006-03-12,2006-10-22,0,6,0,3,11,7.0
3,doornbos,0,3,,0,,0,2006-10-01,2006-10-22,0,0,0,0,0,0.0
4,ide,0,1,,0,,0,2006-03-12,2006-04-23,0,0,0,0,3,0.0
6,kubica,0,5,,0,,1,2006-08-06,2006-10-22,0,3,0,1,1,6.0
7,montagny,0,3,,0,,0,2006-05-07,2006-07-16,0,0,0,0,4,0.0
7,yamamoto,0,3,,0,,0,2006-07-30,2006-10-22,0,0,0,0,4,0.0
8,rosa,0,6,,0,,1,2006-07-16,2006-10-22,0,5,0,5,2,19.0
