participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,tarquini,0,1,,0,,0,1995-10-01,1995-10-01,0,0,0,0,0,0.0
1,magnussen,0,1,,0,,0,1995-10-22,1995-10-22,0,1,0,0,0,0.0
10,morbidelli,0,6,,0,,1,1995-03-26,1995-11-12,0,3,0,2,4,5.0
11,boullion,0,7,,0,,0,1995-05-28,1995-10-22,0,5,0,2,4,3.0
11,gachot,0,2,,0,,0,1995-03-26,1995-11-12,0,1,0,0,9,0.0
11,brundle,0,6,,0,,1,1995-05-14,1995-11-12,0,6,0,2,5,7.0
15,blundell,0,10,,0,,0,1995-03-26,1995-11-12,0,9,0,6,5,13.0
16,katayama,0,4,,0,,0,1995-03-26,1995-11-12,0,3,0,0,12,0.0
16,hakkinen,0,6,,0,,2,1995-03-26,1995-11-12,0,6,0,4,10,17.0
17,michael_schumacher,0,13,1995-03-26,0,1995-10-29,11,1995-03-26,1995-11-12,4,12,9,12,4,102.0
17,berger,0,11,,0,,6,1995-03-26,1995-11-12,1,9,0,9,6,31.0
17,herbert,0,13,1995-07-16,0,1995-09-10,4,1995-03-26,1995-11-12,0,13,2,10,4,45.0
17,diniz,0,8,,0,,0,1995-03-26,1995-11-12,0,4,0,0,9,0.0
17,frentzen,0,12,,0,,1,1995-03-26,1995-11-12,0,12,0,8,5,15.0
17,barrichello,0,8,,0,,1,1995-03-26,1995-11-12,0,6,0,4,9,11.0
17,badoer,0,9,,0,,0,1995-03-26,1995-11-12,0,4,0,0,8,0.0
17,inoue,0,5,,0,,0,1995-03-26,1995-11-12,0,2,0,0,12,0.0
17,irvine,0,9,,0,,1,1995-03-26,1995-11-12,0,8,0,4,8,10.0
17,coulthard,0,9,1995-09-24,0,1995-09-24,8,1995-03-26,1995-11-12,5,9,1,9,8,49.0
17,damon_hill,0,10,1995-04-09,0,1995-11-12,9,1995-03-26,1995-11-12,7,10,4,10,7,69.0
17,salo,0,12,,0,,0,1995-03-26,1995-11-12,0,9,0,3,5,5.0
17,alesi,0,9,1995-06-11,0,1995-06-11,5,1995-03-26,1995-11-12,0,9,1,9,8,42.0
17,panis,0,11,,0,,1,1995-03-26,1995-11-12,0,11,0,6,6,16.0
17,moreno,0,4,,0,,0,1995-03-26,1995-11-12,0,0,0,0,13,0.0
17,montermini,0,3,,0,,0,1995-03-26,1995-11-12,0,2,0,0,14,0.0
2,deletraz,0,1,,0,,0,1995-09-24,1995-10-01,0,0,0,0,1,0.0
2,mansell,0,1,,0,,0,1995-04-30,1995-05-14,0,1,0,0,1,0.0
4,lavaggi,0,0,,0,,0,1995-07-30,1995-09-10,0,0,0,0,4,0.0
5,schiattarella,0,2,,0,,0,1995-03-26,1995-05-28,0,1,0,0,3,0.0
5,verstappen,0,1,,0,,0,1995-03-26,1995-05-28,0,0,0,0,4,0.0
6,suzuki,0,3,,1,,0,1995-03-26,1995-10-29,0,2,0,1,2,1.0
6,wendlinger,0,2,,0,,0,1995-03-26,1995-11-12,0,1,0,0,4,0.0
7,papis,0,2,,0,,0,1995-07-16,1995-10-01,0,1,0,0,5,0.0
8,lamy,0,6,,0,,0,1995-08-13,1995-11-12,0,4,0,1,2,1.0
9,martini,0,4,,0,,0,1995-03-26,1995-07-30,0,2,0,0,5,0.0
