participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,hobbs,0,0,,0,,0,1968-09-08,1968-09-08,0,0,0,0,1,0.0
1,mario_andretti,0,0,,0,,0,1968-10-06,1968-10-06,1,0,0,0,1,0.0
1,widdows,0,0,,0,,0,1968-07-20,1968-07-20,0,0,0,0,1,0.0
1,clark,0,1,1968-01-01,0,1968-01-01,1,1968-01-01,1968-01-01,1,1,1,1,0,9.0
1,hahne,0,1,,0,,0,1968-08-04,1968-08-04,0,1,0,0,0,0.0
1,jo_schlesser,0,0,,0,,0,1968-07-07,1968-07-07,0,0,0,0,1,0.0
1,unser,0,0,,0,,0,1968-10-06,1968-10-06,0,0,0,0,1,0.0
1,adamich,0,0,,0,,0,1968-01-01,1968-01-01,0,0,0,0,1,0.0
1,ahrens,0,1,,0,,0,1968-08-04,1968-08-04,0,0,0,0,0,0.0
1,love,0,1,,0,,0,1968-01-01,1968-01-01,0,1,0,0,0,0.0
1,tingle,0,0,,0,,0,1968-01-01,1968-01-01,0,0,0,0,1,0.0
1,spence,0,0,,0,,0,1968-01-01,1968-01-01,0,0,0,0,1,0.0
1,solana,0,0,,0,,0,1968-11-03,1968-11-03,0,0,0,0,1,0.0
1,rooyen,0,0,,0,,0,1968-01-01,1968-01-01,0,0,0,0,1,0.0
1,pretorius,0,0,,0,,0,1968-01-01,1968-01-01,0,0,0,0,1,0.0
1,brack,0,0,,0,,0,1968-09-22,1968-09-22,0,0,0,0,1,0.0
1,charlton,0,0,,0,,0,1968-01-01,1968-01-01,0,0,0,0,1,0.0
1,gardner,0,0,,1,,0,1968-09-08,1968-09-08,0,0,0,0,0,0.0
10,stewart,0,8,1968-06-23,0,1968-10-06,4,1968-01-01,1968-11-03,0,8,3,7,2,36.0
10,ickx,0,6,1968-07-07,1,1968-07-07,4,1968-01-01,1968-11-03,1,6,1,6,3,27.0
11,courage,0,4,,0,,0,1968-05-12,1968-11-03,0,4,0,2,7,4.0
11,amon,0,4,,0,,1,1968-01-01,1968-11-03,3,4,0,3,7,10.0
11,mclaren,0,7,1968-06-09,0,1968-06-09,3,1968-05-12,1968-11-03,0,6,1,4,4,22.0
12,hill,0,8,1968-05-12,0,1968-11-03,6,1968-01-01,1968-11-03,2,8,3,7,4,48.0
12,jack_brabham,0,2,,1,,0,1968-01-01,1968-11-03,0,2,0,1,9,2.0
12,rindt,0,2,,0,,2,1968-01-01,1968-11-03,2,2,0,2,10,8.0
12,rodriguez,0,5,,0,,3,1968-01-01,1968-11-03,0,5,0,5,7,18.0
12,beltoise,0,6,,0,,1,1968-01-01,1968-11-03,0,6,0,4,6,11.0
12,surtees,0,4,,0,,2,1968-01-01,1968-11-03,1,4,0,3,8,12.0
12,siffert,0,6,1968-07-20,0,1968-07-20,1,1968-01-01,1968-11-03,1,5,1,3,6,12.0
12,hulme,0,8,1968-09-08,0,1968-09-22,3,1968-01-01,1968-11-03,0,8,2,7,4,33.0
2,pescarolo,0,1,,0,,0,1968-09-22,1968-11-03,0,1,0,0,1,0.0
2,bell,0,0,,0,,0,1968-09-08,1968-10-06,0,0,0,0,2,0.0
3,redman,0,1,,0,,1,1968-01-01,1968-06-09,0,1,0,1,2,4.0
3,scarfiotti,0,2,,0,,0,1968-01-01,1968-05-26,0,2,0,2,1,6.0
4,moser,0,1,,2,,0,1968-05-26,1968-09-08,0,1,0,1,1,2.0
5,gavin,0,1,,0,,1,1968-05-26,1968-11-03,0,1,0,1,4,6.0
6,attwood,0,4,,0,,1,1968-05-26,1968-08-04,0,3,0,1,2,6.0
7,elford,0,3,,0,,0,1968-07-07,1968-11-03,0,3,0,2,4,5.0
7,bianchi,0,2,,0,,1,1968-05-26,1968-11-03,0,2,0,2,5,5.0
9,gurney,0,2,,0,,0,1968-01-01,1968-11-03,0,2,0,1,7,3.0
9,oliver,0,3,,1,,1,1968-05-26,1968-11-03,0,2,0,2,5,6.0
9,bonnier,0,3,,1,,0,1968-01-01,1968-11-03,0,3,0,2,5,3.0
