participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,cabral,0,0,,0,,0,1964-09-06,1964-09-06,0,0,0,0,1,0.0
1,taylor,0,1,,0,,0,1964-07-11,1964-07-11,0,0,0,0,0,0.0
1,solana,0,1,,0,,0,1964-10-25,1964-10-25,0,1,0,0,0,0.0
1,scarfiotti,0,1,,0,,0,1964-09-06,1964-09-06,0,1,0,0,0,0.0
1,rodriguez,0,1,,0,,0,1964-10-25,1964-10-25,0,1,0,1,0,1.0
1,rindt,0,0,,0,,0,1964-08-23,1964-08-23,0,0,0,0,1,0.0
1,mitter,0,1,,0,,0,1964-08-02,1964-08-02,0,1,0,0,0,0.0
1,love,0,0,,1,,0,1964-09-06,1964-09-06,0,0,0,0,0,0.0
1,hansgen,0,1,,0,,0,1964-10-04,1964-10-04,0,1,0,1,0,2.0
1,attwood,0,0,,0,,0,1964-07-11,1964-07-11,0,0,0,0,1,0.0
1,geki,0,0,,1,,0,1964-09-06,1964-09-06,0,0,0,0,0,0.0
1,barth,0,0,,0,,0,1964-08-02,1964-08-02,0,0,0,0,1,0.0
1,beaufort,0,0,,0,,0,1964-05-24,1964-05-24,0,0,0,0,1,0.0
1,gardner,0,0,,0,,0,1964-07-11,1964-07-11,0,0,0,0,1,0.0
1,collomb,0,0,,1,,0,1964-05-10,1964-05-10,0,0,0,0,0,0.0
10,clark,0,7,1964-05-24,0,1964-07-11,3,1964-05-10,1964-10-25,5,6,3,5,3,32.0
10,mclaren,0,5,,0,,2,1964-05-10,1964-10-25,0,5,0,3,5,13.0
10,gurney,0,6,1964-06-28,0,1964-10-25,2,1964-05-10,1964-10-25,2,5,2,3,4,19.0
10,hill,0,8,1964-05-10,0,1964-10-04,5,1964-05-10,1964-10-25,1,7,2,7,2,41.0
10,ginther,0,10,,0,,2,1964-05-10,1964-10-25,0,9,0,6,0,23.0
10,siffert,0,6,,0,,1,1964-05-10,1964-10-25,0,4,0,2,4,7.0
10,surtees,0,6,1964-08-02,0,1964-09-06,6,1964-05-10,1964-10-25,2,6,2,6,4,40.0
10,jack_brabham,0,6,,0,,2,1964-05-10,1964-10-25,0,4,0,3,4,11.0
10,bandini,0,7,1964-08-23,0,1964-08-23,4,1964-05-10,1964-10-25,0,7,1,5,3,23.0
2,sharp,0,1,,0,,0,1964-10-04,1964-10-25,0,0,0,0,1,0.0
2,raby,0,0,,1,,0,1964-07-11,1964-09-06,0,0,0,0,1,0.0
3,bucknum,0,1,,0,,0,1964-08-02,1964-10-04,0,0,0,0,2,0.0
3,andre_pilette,0,0,,2,,0,1964-05-10,1964-08-02,0,0,0,0,1,0.0
4,arundell,0,4,,0,,2,1964-05-10,1964-06-28,0,4,0,3,0,11.0
5,maggs,0,2,,2,,0,1964-05-10,1964-08-23,0,2,0,2,1,4.0
5,revson,0,2,,1,,0,1964-05-10,1964-09-06,0,0,0,0,2,0.0
5,trintignant,0,2,,0,,0,1964-05-10,1964-09-06,0,1,0,1,3,2.0
6,spence,0,4,,0,,0,1964-07-11,1964-10-25,1,4,0,2,2,4.0
7,anderson,0,6,,0,,1,1964-05-10,1964-09-06,0,4,0,2,1,5.0
7,baghetti,0,5,,1,,0,1964-05-10,1964-09-06,0,4,0,0,1,0.0
8,ireland,0,5,,1,,0,1964-05-10,1964-10-25,0,4,0,2,2,4.0
8,trevor_taylor,0,2,,1,,0,1964-05-10,1964-10-25,0,2,0,1,5,1.0
9,phil_hill,0,5,,0,,0,1964-05-10,1964-10-25,0,5,0,1,4,1.0
9,amon,0,3,,1,,0,1964-05-10,1964-10-25,0,2,0,1,5,2.0
9,hailwood,0,5,,0,,0,1964-05-10,1964-10-25,0,4,0,1,4,1.0
9,bonnier,0,4,,0,,0,1964-05-10,1964-10-25,0,3,0,2,5,3.0
