participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,gimax,0,0,,1,,0,1978-09-10,1978-09-10,0,0,0,0,0,0.0
1,villota,0,0,,1,,0,1978-06-04,1978-06-04,0,0,0,0,0,0.0
1,trimmer,0,0,,1,,0,1978-07-16,1978-07-16,0,0,0,0,0,0.0
1,binder,0,0,,1,,0,1978-08-13,1978-08-13,0,0,0,0,0,0.0
1,lees,0,0,,1,,0,1978-07-16,1978-07-16,0,0,0,0,0,0.0
10,daly,0,3,,4,,0,1978-04-02,1978-10-08,0,3,0,1,3,1.0
13,mass,0,6,,3,,0,1978-01-15,1978-08-27,0,2,0,0,4,0.0
13,keegan,0,1,,7,,0,1978-01-15,1978-08-27,0,0,0,0,5,0.0
14,peterson,0,9,1978-03-04,0,1978-08-13,7,1978-01-15,1978-09-10,3,9,2,9,5,51.0
14,stommelen,0,6,,5,,0,1978-03-04,1978-10-08,0,2,0,0,3,0.0
14,patrese,0,7,,0,,1,1978-01-29,1978-10-08,0,7,0,4,7,11.0
14,brambilla,0,7,,2,,0,1978-01-15,1978-09-10,0,3,0,1,5,1.0
14,keke_rosberg,0,3,,5,,0,1978-03-04,1978-10-08,0,1,0,0,6,0.0
14,jabouille,0,4,,0,,0,1978-03-04,1978-10-08,0,2,0,1,10,3.0
15,tambay,0,10,,0,,0,1978-01-15,1978-10-08,0,9,0,5,5,8.0
15,lunger,0,6,,5,,0,1978-01-15,1978-10-01,0,3,0,0,4,0.0
16,mario_andretti,0,12,1978-01-15,0,1978-08-27,7,1978-01-15,1978-10-08,8,11,6,9,4,64.0
16,stuck,0,4,,2,,0,1978-01-15,1978-10-08,0,1,0,1,10,2.0
16,lauda,0,7,1978-06-17,0,1978-09-10,7,1978-01-15,1978-10-08,1,7,2,7,9,44.0
16,hunt,0,6,,0,,1,1978-01-15,1978-10-08,0,6,0,3,10,8.0
16,gilles_villeneuve,0,10,1978-10-08,0,1978-10-08,2,1978-01-15,1978-10-08,0,9,1,4,6,17.0
16,scheckter,0,9,,0,,4,1978-01-15,1978-10-08,0,7,0,6,7,24.0
16,watson,0,10,,0,,3,1978-01-15,1978-10-08,1,10,0,7,6,25.0
16,jones,0,9,,0,,1,1978-01-15,1978-10-08,0,7,0,3,7,11.0
16,reutemann,0,12,1978-01-29,0,1978-10-01,7,1978-01-15,1978-10-08,2,11,4,7,4,48.0
16,emerson_fittipaldi,0,10,,0,,1,1978-01-15,1978-10-08,0,10,0,6,6,17.0
16,laffite,0,14,,0,,2,1978-01-15,1978-10-08,0,12,0,7,2,19.0
16,regazzoni,0,6,,5,,0,1978-01-15,1978-10-08,0,3,0,2,5,4.0
16,rebaque,0,4,,7,,0,1978-01-15,1978-10-08,0,2,0,1,5,1.0
16,pironi,0,10,,0,,0,1978-01-15,1978-10-08,0,8,0,5,6,7.0
16,depailler,0,8,1978-05-07,0,1978-05-07,5,1978-01-15,1978-10-08,0,7,1,7,8,34.0
16,merzario,0,0,,8,,0,1978-01-15,1978-10-08,0,0,0,0,8,0.0
2,galica,0,0,,2,,0,1978-01-15,1978-01-29,0,0,0,0,0,0.0
2,rahal,0,1,,0,,0,1978-10-01,1978-10-08,0,0,0,0,1,0.0
2,gabbiani,0,0,,2,,0,1978-10-01,1978-10-08,0,0,0,0,0,0.0
3,cheever,0,0,,2,,0,1978-01-15,1978-03-04,0,0,0,0,1,0.0
3,colombo,0,0,,3,,0,1978-05-21,1978-09-10,0,0,0,0,0,0.0
4,ongais,0,0,,2,,0,1978-01-15,1978-08-27,0,0,0,0,2,0.0
4,bleekemolen,0,0,,3,,0,1978-08-27,1978-10-08,0,0,0,0,1,0.0
4,leoni,0,0,,2,,0,1978-01-15,1978-04-02,0,0,0,0,2,0.0
4,ickx,0,1,,1,,0,1978-05-07,1978-06-17,0,0,0,0,2,0.0
5,giacomelli,0,3,,0,,0,1978-05-21,1978-09-10,0,2,0,0,2,0.0
5,piquet,0,2,,0,,0,1978-07-30,1978-10-08,0,1,0,0,3,0.0
5,ertl,0,1,,3,,0,1978-07-30,1978-09-10,0,0,0,0,1,0.0
8,jarier,0,4,,2,,0,1978-01-15,1978-10-08,1,1,0,0,2,0.0
9,arnoux,0,4,,3,,0,1978-03-04,1978-10-08,0,3,0,0,2,0.0
