participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,kevin_magnussen,0,0,,0,,0,2015-03-15,2015-03-15,0,0,0,0,1,0.0
13,merhi,0,12,,0,,0,2015-03-29,2015-11-29,0,0,0,0,1,0.0
18,stevens,0,15,,1,,0,2015-03-29,2015-11-29,0,0,0,0,2,0.0
18,alonso,0,11,,0,,0,2015-03-29,2015-11-29,0,2,0,2,7,11.0
19,hamilton,8,18,2015-03-15,0,2015-10-25,17,2015-03-15,2015-11-29,11,18,10,18,1,381.0
19,button,0,13,,0,,0,2015-03-15,2015-11-29,0,4,0,4,6,16.0
19,ericsson,0,16,,0,,0,2015-03-15,2015-11-29,0,5,0,5,3,9.0
19,grosjean,0,13,,0,,1,2015-03-15,2015-11-29,0,10,0,10,6,51.0
19,hulkenberg,0,13,,0,,0,2015-03-15,2015-11-29,0,9,0,9,6,58.0
19,bottas,0,17,,1,,2,2015-03-15,2015-11-29,0,13,0,13,1,136.0
19,kvyat,0,16,,0,,1,2015-03-15,2015-11-29,0,14,0,14,3,95.0
19,maldonado,0,10,,0,,0,2015-03-15,2015-11-29,0,6,0,6,9,27.0
19,massa,0,16,,0,,2,2015-03-15,2015-11-29,0,13,0,13,3,121.0
19,max_verstappen,0,15,,0,,0,2015-03-15,2015-11-29,0,10,0,10,4,49.0
19,vettel,1,18,2015-03-29,0,2015-09-20,13,2015-03-15,2015-11-29,1,17,3,17,1,278.0
19,nasr,0,16,,0,,0,2015-03-15,2015-11-29,0,6,0,6,3,27.0
19,perez,0,18,,0,,1,2015-03-15,2015-11-29,0,12,0,12,1,78.0
19,raikkonen,2,14,,0,,3,2015-03-15,2015-11-29,0,14,0,14,5,150.0
19,ricciardo,3,17,,0,,2,2015-03-15,2015-11-29,0,13,0,13,2,92.0
19,sainz,0,12,,0,,0,2015-03-15,2015-11-29,0,7,0,7,7,18.0
19,rosberg,5,18,2015-05-10,0,2015-11-29,15,2015-03-15,2015-11-29,7,17,6,17,1,322.0
5,rossi,0,5,,0,,0,2015-09-20,2015-11-15,0,0,0,0,0,0.0
