participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,charlton,0,1,,0,,0,1970-03-07,1970-03-07,0,0,0,0,0,0.0
1,westbury,0,0,,1,,0,1970-10-04,1970-10-04,0,0,0,0,0,0.0
1,redman,0,0,,1,,0,1970-08-02,1970-08-02,0,0,0,0,0,0.0
1,love,0,1,,0,,0,1970-03-07,1970-03-07,0,1,0,0,0,0.0
1,klerk,0,1,,0,,0,1970-03-07,1970-03-07,0,0,0,0,0,0.0
1,hutchison,0,0,,0,,0,1970-10-04,1970-10-04,0,0,0,0,1,0.0
1,hahne,0,0,,1,,0,1970-08-02,1970-08-02,0,0,0,0,0,0.0
1,galli,0,0,,1,,0,1970-09-06,1970-09-06,0,0,0,0,0,0.0
10,rindt,0,6,1970-05-10,1,1970-08-02,5,1970-03-07,1970-09-06,3,5,5,5,3,45.0
10,eaton,0,3,,2,,0,1970-03-07,1970-10-04,0,1,0,0,5,0.0
10,adamich,0,2,,5,,0,1970-04-19,1970-10-04,0,1,0,0,3,0.0
10,miles,0,3,,3,,0,1970-03-07,1970-09-06,0,3,0,1,4,2.0
11,surtees,0,4,,0,,0,1970-03-07,1970-10-25,0,4,0,2,7,3.0
11,hulme,0,8,,0,,4,1970-03-07,1970-10-25,0,8,0,7,3,27.0
12,stommelen,0,6,,2,,1,1970-03-07,1970-10-25,0,5,0,4,4,10.0
12,hill,0,5,,1,,0,1970-03-07,1970-10-25,0,5,0,4,6,7.0
13,jack_brabham,0,7,1970-03-07,0,1970-03-07,4,1970-03-07,1970-10-25,1,5,1,4,6,25.0
13,beltoise,0,8,,0,,2,1970-03-07,1970-10-25,0,7,0,6,5,16.0
13,ickx,0,7,1970-08-16,0,1970-10-25,5,1970-03-07,1970-10-25,4,7,3,6,6,40.0
13,amon,0,8,,0,,3,1970-03-07,1970-10-25,0,8,0,6,5,23.0
13,siffert,0,6,,1,,0,1970-03-07,1970-10-25,0,6,0,0,6,0.0
13,pescarolo,0,10,,0,,1,1970-03-07,1970-10-25,0,9,0,4,3,8.0
13,oliver,0,2,,0,,0,1970-03-07,1970-10-25,0,2,0,1,11,2.0
13,stewart,0,5,1970-04-19,0,1970-04-19,4,1970-03-07,1970-10-25,4,5,1,4,8,25.0
13,rodriguez,0,8,1970-06-07,0,1970-06-07,2,1970-03-07,1970-10-25,0,8,1,6,5,23.0
2,bell,0,1,,0,,0,1970-06-07,1970-10-04,0,1,0,1,1,1.0
2,roig,0,0,,2,,0,1970-04-19,1970-07-05,0,0,0,0,0,0.0
2,bonnier,0,0,,1,,0,1970-09-06,1970-10-04,0,0,0,0,1,0.0
2,wisell,0,1,,0,,1,1970-10-04,1970-10-25,0,1,0,1,1,4.0
3,mclaren,0,1,,0,,1,1970-03-07,1970-05-10,0,1,0,1,2,6.0
3,gurney,0,1,,0,,0,1970-06-21,1970-07-18,0,1,0,1,2,1.0
3,gavin,0,1,,1,,0,1970-03-07,1970-05-10,0,1,0,1,1,2.0
4,lovely,0,0,,3,,0,1970-06-21,1970-10-04,0,0,0,0,1,0.0
4,giunti,0,3,,0,,0,1970-06-07,1970-09-06,0,2,0,1,1,3.0
4,schenken,0,0,,0,,0,1970-08-16,1970-10-04,0,0,0,0,4,0.0
5,mario_andretti,0,1,,0,,1,1970-03-07,1970-08-16,0,1,0,1,4,4.0
5,moser,0,0,,4,,0,1970-06-21,1970-09-06,0,0,0,0,1,0.0
5,courage,0,0,,0,,0,1970-03-07,1970-06-21,0,0,0,0,5,0.0
6,emerson_fittipaldi,0,4,1970-10-04,1,1970-10-04,1,1970-07-18,1970-10-25,0,3,1,2,1,12.0
7,gethin,0,3,,0,,0,1970-06-21,1970-10-25,0,2,0,1,4,1.0
8,regazzoni,0,7,1970-09-06,0,1970-09-06,4,1970-06-21,1970-10-25,1,6,1,6,1,33.0
9,peterson,0,4,,0,,0,1970-05-10,1970-10-04,0,3,0,0,5,0.0
9,cevert,0,5,,0,,0,1970-06-21,1970-10-25,0,4,0,1,4,1.0
