participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,tingelstad,0,1,,0,,0,1960-05-30,1960-05-30,0,1,0,0,0,0.0
1,templeman,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,weiler,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,ward,0,1,,0,,1,1960-05-30,1960-05-30,0,1,0,1,0,6.0
1,rathmann,0,1,1960-05-30,0,1960-05-30,1,1960-05-30,1960-05-30,0,1,1,1,0,8.0
1,lovely,0,1,,0,,0,1960-11-20,1960-11-20,0,0,0,0,0,0.0
1,amick,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,barth,0,1,,0,,0,1960-09-04,1960-09-04,0,1,0,0,0,0.0
1,beaufort,0,1,,0,,0,1960-06-06,1960-06-06,0,1,0,0,0,0.0
1,sutton,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,vic_wilson,0,0,,0,,0,1960-09-04,1960-09-04,0,0,0,0,1,0.0
1,bonomi,0,1,,0,,0,1960-02-07,1960-02-07,0,0,0,0,0,0.0
1,boyd,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,branson,0,1,,0,,0,1960-05-30,1960-05-30,0,1,0,1,0,3.0
1,stevenson,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,thomson,0,1,,0,,0,1960-05-30,1960-05-30,0,1,0,1,0,2.0
1,bryan,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,seidel,0,1,,0,,0,1960-09-04,1960-09-04,0,1,0,0,0,0.0
1,cabianca,0,1,,0,,0,1960-09-04,1960-09-04,0,1,0,1,0,3.0
1,cabral,0,0,,0,,0,1960-08-14,1960-08-14,0,0,0,0,1,0.0
1,chimeri,0,0,,0,,0,1960-02-07,1960-02-07,0,0,0,0,1,0.0
1,christie,0,1,,0,,0,1960-05-30,1960-05-30,0,1,0,0,0,0.0
1,schell,0,0,,0,,0,1960-02-07,1960-02-07,0,0,0,0,1,0.0
1,creus,0,0,,0,,0,1960-02-07,1960-02-07,0,0,0,0,1,0.0
1,sachs,0,1,,0,,0,1960-05-30,1960-05-30,1,0,0,0,0,0.0
1,darter,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,dempsey_wilson,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,dick_rathmann,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,drake,0,1,,0,,0,1960-11-20,1960-11-20,0,0,0,0,0,0.0
1,drogo,0,1,,0,,0,1960-09-04,1960-09-04,0,1,0,0,0,0.0
1,estefano,0,1,,0,,0,1960-02-07,1960-02-07,0,0,0,0,0,0.0
1,fairman,0,0,,0,,0,1960-07-16,1960-07-16,0,0,0,0,1,0.0
1,ruttman,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,force,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,foyt,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
1,freeland,0,1,,0,,0,1960-05-30,1960-05-30,0,0,0,0,0,0.0
