participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,cogan,0,0,,1,,0,1980-09-28,1980-09-28,0,0,0,0,0,0.0
1,south,0,0,,1,,0,1980-03-30,1980-03-30,0,0,0,0,0,0.0
1,manfred_winkelhock,0,0,,1,,0,1980-09-14,1980-09-14,0,0,0,0,0,0.0
1,ertl,0,0,,1,,0,1980-08-10,1980-08-10,0,0,0,0,0,0.0
1,desire_wilson,0,0,,1,,0,1980-07-13,1980-07-13,0,0,0,0,0,0.0
11,surer,0,5,,2,,0,1980-01-13,1980-10-05,0,3,0,0,4,0.0
13,jabouille,0,2,1980-08-17,0,1980-08-17,1,1980-01-13,1980-09-28,2,2,1,1,11,9.0
13,prost,0,7,,1,,0,1980-01-13,1980-10-05,0,6,0,4,5,5.0
13,mass,0,8,,2,,0,1980-01-13,1980-10-05,0,6,0,2,3,4.0
14,jones,0,11,1980-01-13,0,1980-10-05,10,1980-01-13,1980-10-05,3,10,5,10,3,71.0
14,cheever,0,1,,4,,0,1980-01-13,1980-10-05,0,0,0,0,9,0.0
14,mario_andretti,0,5,,0,,0,1980-01-13,1980-10-05,0,4,0,1,9,1.0
14,daly,0,7,,0,,0,1980-01-13,1980-10-05,0,5,0,2,7,6.0
14,watson,0,6,,1,,0,1980-01-13,1980-10-05,0,4,0,2,7,6.0
14,piquet,0,10,1980-03-30,0,1980-09-14,6,1980-01-13,1980-10-05,2,10,3,10,4,54.0
14,emerson_fittipaldi,0,6,,0,,1,1980-01-13,1980-10-05,0,3,0,2,8,5.0
14,angelis,0,8,,0,,1,1980-01-13,1980-10-05,0,7,0,4,6,13.0
14,giacomelli,0,3,,0,,0,1980-01-13,1980-10-05,1,2,0,2,11,4.0
14,gilles_villeneuve,0,8,,0,,0,1980-01-13,1980-10-05,0,7,0,4,6,6.0
14,jarier,0,8,,0,,0,1980-01-13,1980-10-05,0,5,0,3,6,6.0
14,arnoux,0,9,1980-01-27,0,1980-03-01,3,1980-01-13,1980-10-05,3,9,2,5,5,29.0
14,scheckter,0,9,,1,,0,1980-01-13,1980-10-05,0,5,0,1,4,2.0
14,keke_rosberg,0,7,,3,,1,1980-01-13,1980-10-05,0,6,0,2,4,6.0
14,laffite,0,10,1980-08-10,0,1980-08-10,5,1980-01-13,1980-10-05,1,9,1,7,4,34.0
14,lammers,0,3,,8,,0,1980-01-13,1980-10-05,0,0,0,0,3,0.0
14,patrese,0,7,,0,,1,1980-01-13,1980-10-05,0,6,0,2,7,7.0
14,reutemann,0,11,1980-05-18,0,1980-05-18,8,1980-01-13,1980-10-05,0,11,1,11,3,49.0
14,pironi,0,8,1980-05-04,0,1980-05-04,5,1980-01-13,1980-10-05,2,8,1,8,6,32.0
2,cesaris,0,0,,0,,0,1980-09-28,1980-10-05,0,0,0,0,2,0.0
2,needell,0,0,,1,,0,1980-05-04,1980-05-18,0,0,0,0,1,0.0
2,johansson,0,0,,2,,0,1980-01-13,1980-01-27,0,0,0,0,0,0.0
2,brambilla,0,0,,0,,0,1980-08-31,1980-09-14,0,0,0,0,2,0.0
3,mansell,0,0,,1,,0,1980-08-17,1980-09-14,0,0,0,0,2,0.0
3,thackwell,0,0,,2,,0,1980-08-31,1980-10-05,0,0,0,0,1,0.0
4,regazzoni,0,1,,0,,0,1980-01-13,1980-03-30,0,1,0,0,3,0.0
7,kennedy,0,0,,7,,0,1980-01-13,1980-06-29,0,0,0,0,0,0.0
7,rebaque,0,3,,0,,0,1980-07-13,1980-10-05,0,3,0,1,4,1.0
7,keegan,0,4,,3,,0,1980-07-13,1980-10-05,0,1,0,0,0,0.0
7,zunino,0,3,,1,,0,1980-01-13,1980-06-29,0,3,0,0,3,0.0
8,lees,0,1,,6,,0,1980-03-01,1980-10-05,0,0,0,0,1,0.0
8,depailler,0,0,,0,,0,1980-01-13,1980-07-13,0,0,0,0,8,0.0
