participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
1,naspetti,0,0,,0,,0,1993-09-26,1993-09-26,0,0,0,0,1,0.0
1,apicella,0,0,,0,,0,1993-09-12,1993-09-12,0,0,0,0,1,0.0
10,boutsen,0,5,,0,,0,1993-04-11,1993-08-29,0,1,0,0,5,0.0
12,zanardi,0,5,,0,,0,1993-03-14,1993-08-29,0,3,0,1,7,1.0
13,andretti,0,6,,0,,1,1993-03-14,1993-09-12,0,5,0,3,7,7.0
14,badoer,0,6,,2,,0,1993-03-14,1993-09-26,0,2,0,0,6,0.0
14,fittipaldi,0,10,,0,,0,1993-03-14,1993-09-26,0,8,0,2,4,5.0
14,alboreto,0,4,,5,,0,1993-03-14,1993-09-26,0,0,0,0,5,0.0
14,alliot,0,10,,0,,0,1993-03-14,1993-09-26,0,6,0,1,4,2.0
16,prost,0,15,1993-03-14,0,1993-07-25,12,1993-03-14,1993-11-07,13,13,7,13,1,99.0
16,wendlinger,0,7,,0,,0,1993-03-14,1993-11-07,0,5,0,4,9,7.0
16,barrichello,0,8,,0,,0,1993-03-14,1993-11-07,0,5,0,1,8,2.0
16,berger,0,9,,0,,1,1993-03-14,1993-11-07,0,7,0,6,7,12.0
16,blundell,0,9,,0,,2,1993-03-14,1993-11-07,0,8,0,3,7,10.0
16,alesi,0,7,,0,,2,1993-03-14,1993-11-07,0,7,0,4,9,16.0
16,brundle,0,11,,0,,1,1993-03-14,1993-11-07,0,10,0,7,5,13.0
16,cesaris,0,6,,0,,0,1993-03-14,1993-11-07,0,1,0,0,10,0.0
16,comas,0,8,,0,,0,1993-03-14,1993-11-07,0,5,0,1,8,1.0
16,michael_schumacher,0,9,1993-09-26,0,1993-09-26,9,1993-03-14,1993-11-07,0,9,1,9,7,52.0
16,herbert,0,8,,0,,0,1993-03-14,1993-11-07,0,7,0,4,8,11.0
16,katayama,0,5,,0,,0,1993-03-14,1993-11-07,0,1,0,0,11,0.0
16,lehto,0,7,,0,,0,1993-03-14,1993-11-07,0,7,0,2,9,5.0
16,senna,0,12,1993-03-28,0,1993-11-07,7,1993-03-14,1993-11-07,1,11,5,11,4,73.0
16,damon_hill,0,12,1993-08-15,0,1993-09-12,10,1993-03-14,1993-11-07,2,11,3,11,4,69.0
16,patrese,0,10,,0,,2,1993-03-14,1993-11-07,0,9,0,7,6,20.0
16,suzuki,0,5,,0,,0,1993-03-14,1993-11-07,0,3,0,0,11,0.0
16,warwick,0,11,,0,,0,1993-03-14,1993-11-07,0,5,0,2,5,4.0
2,capelli,0,0,,0,,0,1993-03-14,1993-03-28,0,0,0,0,2,0.0
2,gounon,0,0,,0,,0,1993-10-24,1993-11-07,0,0,0,0,2,0.0
2,irvine,0,1,,0,,0,1993-10-24,1993-11-07,0,1,0,1,1,1.0
2,toshio_suzuki,0,2,,0,,0,1993-10-24,1993-11-07,0,0,0,0,0,0.0
3,hakkinen,0,1,,0,,1,1993-09-26,1993-11-07,0,1,0,1,2,4.0
4,lamy,0,2,,0,,0,1993-09-12,1993-11-07,0,0,0,0,2,0.0
8,barbazza,0,3,,0,,0,1993-03-14,1993-07-04,0,2,0,2,5,2.0
8,martini,0,4,,0,,0,1993-07-11,1993-11-07,0,3,0,0,4,0.0
